state rawpoll_trump adjpoll_trump
"North Carolina" 43.0 44.22988
Pennsylvania 38.0 41.70831
Florida 45.0 47.37077
Georgia 44.0 46.72553
U.S. 37.0 42.056
Georgia 45.0 46.51036
Iowa 38.3 41.85942
"North Carolina" 42.0 43.46046
"New Hampshire" 38.0 40.16068
Pennsylvania 43.0 44.93927
Ohio 43.0 43.69283
Virginia 43.0 43.6096
U.S. 40.0 41.63988
Florida 45.0 45.62412
"West Virginia" 60.0 60.45567
U.S. 43.0 43.73389
Utah 30.0 31.45146
U.S. 36.7 37.7717
U.S. 38.0 38.35381
Florida 41.0 42.73302
Nevada 42.0 43.96085
Arizona 40.0 43.11706
"New Hampshire" 42.0 44.73172
U.S. 42.0 44.47908
Connecticut 35.0 36.33534
Pennsylvania 38.0 41.73801
Florida 41.0 45.25571
"New York" 30.0 33.67383
Texas 42.4 43.19119
U.S. 43.0 44.0338
Iowa 45.0 47.0718
Maine 39.17 39.67874
Iowa 40.0 43.90862
Nebraska 49.98 50.03713
"West Virginia" 44.26 50.06599
U.S. 39.0 42.08804
"Maine CD-1" 35.5 38.67639
"South Carolina" 53.0 53.07719
Arkansas 57.0 57.70457
Georgia 45.0 45.47157
"Maine CD-2" 37.0 39.99672
Georgia 47.0 48.12753
Wisconsin 38.0 40.62005
Michigan 41.0 43.8236
Kansas 44.0 45.6206
U.S. 36.4 37.66494
Florida 40.0 43.64782
U.S. 43.7 43.82907
U.S. 43.0 44.25965
Maine 36.0 39.09138
"North Carolina" 35.0 40.59344
"New Jersey" 43.0 44.17973
Delaware 34.88 40.67073
"South Dakota" 43.31 49.1241
Kansas 48.0 49.46037
Iowa 43.0 42.8472
"New Hampshire" 37.0 40.58687
Colorado 42.0 43.56071
"New Hampshire" 40.21 40.34906
Idaho 53.87 53.42928
Colorado 42.0 42.93876
Iowa 44.0 45.55995
Virginia 37.0 39.69017
Michigan 35.0 38.69494
Virginia 39.0 40.32798
Mississippi 51.84 52.65133
Pennsylvania 41.0 43.68616
U.S. 41.6 41.99422
Illinois 32.71 35.76566
"South Carolina" 48.0 49.84506
Hawaii 23.66 29.50095
Wisconsin 38.4 38.95558
Maine 26.58 32.43061
"New Jersey" 29.0 34.55844
Colorado 40.0 41.85954
California 30.0 33.62968
"North Dakota" 43.0 47.11424
Nevada 44.0 46.581
Florida 43.0 43.96337
Missouri 47.0 46.82061
"West Virginia" 55.79 56.76012
Washington 28.0 31.8183
Vermont 17.11 22.96262
Nevada 44.0 45.9509
Illinois 38.7 39.1345
"New Mexico" 39.41 36.50404
"North Dakota" 48.14 53.9763
U.S. 37.7 39.13887
Nevada 42.0 45.05898
Colorado 39.0 40.65472
Colorado 34.0 38.00965
Wyoming 57.27 63.08313
Florida 46.0 48.97255
Vermont 26.0 27.54472
Ohio 41.0 43.82773
Pennsylvania 38.0 40.72742
Nevada 42.0 44.83736
"North Carolina" 40.0 42.64606
Alaska 32.58 38.40547
Virginia 29.0 33.38382
"New Hampshire" 38.03 43.8962
Pennsylvania 40.0 43.13855
"New York" 34.2 35.51072
U.S. 40.6 41.2436
Ohio 46.0 46.24802
Florida 42.9 44.48428
Maine 36.0 39.88603
Florida 44.1 45.91316
Arizona 37.0 40.6526
"Maine CD-2" 47.0 48.75685
Texas 39.0 42.86355
"West Virginia" 57.0 60.96814
Arizona 46.0 45.83108
"District of Columbia" 5.0 5.43164
Alaska 45.0 45.2499
"North Carolina" 42.0 44.33287
"District of Columbia" 19.37 25.24611
California 31.0 32.95924
U.S. 36.7 38.29147
Arizona 44.0 44.33267
Delaware 36.17 36.81105
Illinois 35.1 35.87674
"Maine CD-1" 31.0 32.96325
Iowa 44.0 45.36276
Arizona 41.0 43.54182
U.S. 43.0 45.63598
"New Hampshire" 39.0 40.13085
Utah 39.0 39.83334
"New Mexico" 31.0 34.94728
Wyoming 60.0 60.2056
Massachusetts 33.0 34.70235
Wyoming 54.0 58.22426
"South Carolina" 50.0 51.40487
Pennsylvania 40.0 40.92666
Ohio 42.0 42.96225
Florida 48.0 48.95567
"North Carolina" 44.0 44.89779
Nevada 42.0 42.96567
U.S. 38.0 41.90123
Florida 43.0 44.61772
Arkansas 55.0 55.97258
U.S. 37.0 40.13647
"New Mexico" 36.0 36.90739
Massachusetts 28.0 31.79562
"Rhode Island" 36.63 42.50578
Minnesota 38.0 42.62078
U.S. 40.0 42.33182
Nevada 42.0 45.5997
"North Carolina" 42.0 45.00119
U.S. 40.8 41.69476
Montana 47.82 46.69345
Michigan 42.0 42.30123
Pennsylvania 32.0 35.93731
U.S. 41.0 42.44354
U.S. 39.0 41.54242
Oregon 28.0 33.74094
Virginia 39.0 40.84303
"South Dakota" 53.0 53.20908
"Rhode Island" 37.0 37.43047
Texas 44.87 46.15228
Montana 51.0 51.23603
Delaware 36.0 36.12519
Louisiana 45.0 47.24969
Mississippi 49.0 48.92545
U.S. 44.0 44.95132
U.S. 35.6 37.31466
"New Hampshire" 36.0 36.3961
Arizona 45.0 46.11703
U.S. 42.0 44.55466
Kentucky 35.4 46.39645
"West Virginia" 61.0 61.17999
Maryland 27.0 27.08927
"North Dakota" 54.0 54.28878
Oklahoma 50.9 51.87358
Oklahoma 57.0 57.08118
Hawaii 31.0 31.30546
U.S. 35.0 39.43667
Maryland 25.0 28.44895
Vermont 25.0 25.34734
"North Carolina" 45.0 46.43226
Nebraska 53.0 53.17381
Iowa 40.0 43.1629
Arkansas 52.0 52.1032
Alaska 39.0 42.05449
Ohio 42.0 44.62988
U.S. 41.4 42.51698
Idaho 48.0 48.20005
Louisiana 46.0 47.28258
Ohio 42.75 43.38447
U.S. 37.5 39.32814
Tennessee 51.0 51.10195
Indiana 50.0 50.08448
Louisiana 48.9 51.04384
U.S. 41.0 42.80804
"New Hampshire" 39.0 40.42881
Connecticut 38.0 38.25165
California 31.0 34.88351
Louisiana 54.0 53.99077
Florida 42.0 43.98106
Missouri 47.0 47.67228
Alabama 53.0 52.95955
Missouri 48.0 48.10059
Nevada 43.0 44.21734
Iowa 44.0 44.22237
Washington 34.0 34.25844
"South Dakota" 49.64 49.22032
"New Mexico" 35.0 35.1924
Ohio 41.0 42.94352
"New Jersey" 34.0 34.18052
Maine 36.0 36.34015
Wisconsin 38.0 40.60923
Kentucky 61.0 61.10848
Illinois 34.0 34.12449
U.S. 45.0 45.96383
"Rhode Island" 41.0 42.72657
U.S. 41.2 42.51022
Michigan 35.0 38.55568
Kansas 47.0 47.18932
Ohio 39.0 41.00176
Massachusetts 29.0 29.41939
U.S. 37.0 38.93505
Nevada 42.0 41.27282
Pennsylvania 40.0 42.38374
Illinois 30.0 33.5817
Idaho 37.57 44.79524
U.S. 39.0 41.29082
Pennsylvania 39.0 40.82344
Nevada 44.0 44.14366
"Maine CD-2" 44.0 43.69487
Ohio 42.0 41.93174
Michigan 40.82 40.98298
Florida 43.0 44.92133
Missouri 47.0 47.69946
"North Carolina" 38.0 39.72604
"North Carolina" 44.0 47.38743
"West Virginia" 47.56 54.75981
Minnesota 37.0 37.20408
Oregon 35.0 35.24068
Indiana 43.0 47.08829
"South Dakota" 41.88 49.11668
Wisconsin 42.0 42.19457
"Maine CD-2" 40.4 43.51882
Utah 33.0 33.07314
Wisconsin 41.0 41.05132
Florida 41.0 43.32868
"North Carolina" 44.0 46.72365
Texas 44.0 47.25234
U.S. 37.9 39.94026
U.S. 42.0 42.44929
"Maine CD-1" 28.0 29.56416
"Maine CD-1" 32.3 35.60643
"Maine CD-2" 48.0 48.8591
"New Hampshire" 41.0 40.56976
Michigan 37.2 40.61261
"New Hampshire" 41.0 42.69246
Arizona 43.0 43.17144
"South Carolina" 39.0 43.78022
U.S. 40.8 42.28415
"North Carolina" 43.0 42.18115
Nevada 33.18 40.33373
Nevada 41.0 42.44002
Arkansas 38.33 45.43243
Pennsylvania 38.7 39.3461
"North Dakota" 44.9 44.23082
Maine 35.0 36.52898
Wyoming 52.8 60.03228
"North Carolina" 42.0 44.04224
Nebraska 46.87 54.06197
Vermont 14.83 22.24203
U.S. 41.0 44.46539
Pennsylvania 42.0 41.8993
U.S. 37.7 40.0029
"South Carolina" 41.0 45.08524
Maine 26.61 34.01291
Oklahoma 40.34 47.4145
Louisiana 44.79 51.74986
"North Carolina" 43.0 43.03992
Colorado 38.0 38.2228
Alaska 33.15 40.43845
"South Carolina" 46.0 45.98911
"New Mexico" 23.64 30.85554
"North Carolina" 42.0 44.48489
U.S. 40.2 42.33387
Montana 38.99 46.26087
Mississippi 46.54 53.41702
Virginia 37.0 40.86329
Michigan 41.0 41.15405
"New Hampshire" 40.0 39.68471
Ohio 37.0 39.9905
"North Carolina" 45.0 45.78945
U.S. 36.0 39.36212
U.S. 44.0 44.2101
Michigan 39.5 40.86199
Georgia 45.0 47.97536
Arizona 42.0 44.90554
U.S. 33.87 41.02016
Oregon 25.0 31.59211
U.S. 47.87 44.48647
"North Dakota" 46.07 53.40776
U.S. 41.1 42.73674
Kentucky 36.79 43.89912
U.S. 39.0 40.60706
U.S. 35.0 38.26037
Connecticut 31.95 39.24067
U.S. 41.0 43.07693
U.S. 40.0 43.83136
"Maine CD-1" 30.1 31.73116
"Maine CD-2" 40.7 42.11522
U.S. 44.0 45.21498
Ohio 45.0 45.13844
Texas 47.0 47.10011
Ohio 39.0 41.89824
"South Carolina" 41.0 43.72754
Maine 36.1 39.31766
Virginia 39.0 39.09461
U.S. 37.6 39.79507
Missouri 44.0 46.71029
U.S. 37.7 40.00309
U.S. 45.0 45.54617
Arizona 44.56 45.01721
Oregon 25.47 32.74676
Kansas 32.61 39.82164
"New York" 32.0 32.1571
"South Carolina" 40.94 47.89774
Tennessee 43.8 50.90084
Florida 37.0 43.04126
"District of Columbia" 11.14 18.65892
U.S. 41.0 46.06274
Virginia 35.0 39.27341
Iowa 30.78 38.03355
"Rhode Island" 28.26 35.77743
U.S. 41.0 42.48096
Vermont 21.29 21.26918
Alabama 56.83 63.75026
Texas 52.23 52.67292
U.S. 42.6 44.35994
"North Carolina" 42.42 42.9635
California 35.0 36.77142
Hawaii 27.11 34.46891
U.S. 40.0 42.89809
U.S. 42.0 43.80437
Illinois 27.64 28.31962
Pennsylvania 42.0 42.08405
Georgia 46.3 47.8149
"North Carolina" 43.0 44.67639
Ohio 44.0 45.80131
Pennsylvania 40.0 41.73234
Florida 44.0 45.78856
Delaware 33.26 40.39031
U.S. 37.3 39.53464
U.S. 47.11 43.91288
U.S. 43.0 44.14995
Georgia 46.5 48.31915
U.S. 41.4 43.12153
Massachusetts 24.09 31.59339
U.S. 40.0 42.50535
U.S. 42.1 43.97342
U.S. 44.0 45.6882
"New York" 30.1 31.29458
U.S. 36.9 39.20467
Pennsylvania 43.0 42.98756
"District of Columbia" 5.0 5.876767
Florida 46.3 47.97432
Georgia 40.4 47.35153
Mississippi 52.0 55.04662
"New Hampshire" 36.0 37.84245
Iowa 45.0 46.51407
Florida 42.0 45.10439
Maryland 26.0 33.08475
Michigan 41.0 41.72069
"New Hampshire" 38.1 45.57385
U.S. 39.1 41.37706
Virginia 41.0 42.2733
Michigan 37.33 37.51442
California 31.0 31.1594
Colorado 26.21 33.46408
Maine 36.27 44.36182
"West Virginia" 49.0 54.03493
U.S. 41.1 43.08033
Alaska 46.0 46.6463
Florida 44.0 44.12838
Wyoming 59.0 59.59013
Alaska 36.9 44.83773
Iowa 35.0 41.74683
U.S. 36.0 42.53244
Colorado 29.0 35.76237
Virginia 31.0 37.42289
U.S. 38.0 41.8447
Ohio 43.0 45.40165
Pennsylvania 41.0 43.30879
Florida 41.0 43.38448
"North Carolina" 41.0 43.23346
Washington 28.98 36.27929
U.S. 43.0 44.43721
"New York" 34.0 37.42377
"South Dakota" 53.0 53.59453
Maine 33.0 36.9077
Arizona 35.6 42.78895
"New Hampshire" 29.45 37.63734
U.S. 47.39 44.35001
Delaware 28.18 35.90483
Indiana 47.0 50.24656
Alabama 57.0 58.11319
Minnesota 29.88 37.11035
Georgia 43.0 45.96667
Montana 51.0 51.62871
"North Dakota" 52.0 52.69561
"New Mexico" 33.0 34.45741
California 25.62 26.60025
Michigan 32.42 39.5869
Georgia 45.0 44.98421
U.S. 40.0 42.34209
U.S. 37.1 39.40531
Nebraska 51.0 51.54982
"West Virginia" 60.0 60.55765
Nevada 44.0 45.36529
U.S. 37.0 43.25826
Virginia 31.39 38.48153
U.S. 41.2 43.28554
Florida 44.38 45.65243
Mississippi 47.0 46.31637
Florida 39.0 42.41231
U.S. 43.0 44.54977
"Rhode Island" 36.0 35.55486
"Rhode Island" 37.0 37.87528
Florida 45.0 46.68248
"New Hampshire" 36.0 35.53863
Vermont 25.0 24.5156
Delaware 34.0 34.48816
Tennessee 44.35 45.16577
Indiana 33.95 41.02869
Hawaii 27.28 35.3126
Missouri 36.54 43.63911
Wisconsin 27.01 34.2283
U.S. 46.6 43.75597
Oklahoma 55.0 55.43235
Hawaii 31.0 30.49582
Delaware 38.0 37.41069
Montana 48.0 47.46304
Maryland 27.0 26.39373
Arkansas 53.0 52.40031
"New Hampshire" 31.0 38.83174
U.S. 41.0 44.62438
"New York" 33.0 37.70818
Washington 34.0 33.47362
Pennsylvania 40.0 44.45343
"New Jersey" 34.0 33.43682
"North Carolina" 39.6 46.62218
Arkansas 53.0 53.46027
U.S. 41.3 43.47915
Oklahoma 57.0 56.38991
Tennessee 50.0 50.45868
Washington 42.36 43.13104
"Rhode Island" 32.76 41.00601
