Id,MSZoning,LotArea,YrSold,SalePrice
177,RL,10029,2007,211000.0
178,RL,13650,2006,172500.0
179,RL,17423,2009,501837.0
180,RM,8520,2007,100000.0
181,FV,2117,2007,177000.0
182,RL,7588,2006,200100.0
183,RL,9060,2007,120000.0
184,RM,11426,2008,200000.0
185,RL,7438,2006,127000.0
186,RM,22950,2006,475000.0
187,RL,9947,2009,173000.0
188,RL,10410,2009,135000.0
189,RL,7018,2009,153337.0
190,RL,4923,2008,286000.0
191,RL,10570,2007,315000.0
192,RL,7472,2007,184000.0
193,RL,9017,2009,192000.0
194,RM,2522,2006,130000.0
195,RL,7180,2008,127000.0
196,RL,2280,2009,148500.0
197,RL,9416,2007,311872.0
198,RL,25419,2006,235000.0
199,RM,5520,2009,104000.0
200,RL,9591,2009,274900.0
201,RM,8546,2010,140000.0
202,RL,10125,2008,171500.0
203,RL,7000,2006,112000.0
204,RM,4438,2008,149000.0
205,RM,3500,2009,110000.0
206,RL,11851,2009,180500.0
207,RL,13673,2007,143900.0
208,RL,12493,2008,141000.0
209,RL,14364,2007,277000.0
210,RL,8250,2008,145000.0
211,RL,5604,2008,98000.0
212,RL,10420,2010,186000.0
213,FV,8640,2009,252678.0
214,RL,13568,2006,156000.0
215,RL,10900,2010,161750.0
216,RL,10011,2006,134450.0
217,RL,8450,2008,210000.0
218,RM,9906,2006,107000.0
219,RL,15660,2008,311500.0
220,RL,3010,2006,167240.0
221,RL,8990,2006,204900.0
222,RL,8068,2009,200000.0
223,RL,11475,2006,179900.0
224,RL,10500,2009,97000.0
225,RL,13472,2009,386250.0
226,RM,1680,2009,112000.0
227,RL,9950,2007,290000.0
228,RM,1869,2008,106000.0
229,RL,8521,2010,125000.0
230,RL,3182,2009,192500.0
231,RL,8760,2010,148000.0
232,RL,15138,2009,403000.0
233,RM,1680,2006,94500.0
234,RL,10650,2010,128200.0
235,RL,7851,2010,216500.0
236,RM,1680,2008,89500.0
237,RL,8773,2010,185500.0
238,RL,9453,2010,194500.0
239,RL,12030,2007,318000.0
240,RL,8741,2010,113000.0
241,FV,9000,2010,262500.0
242,RM,3880,2007,110500.0
243,RM,5000,2006,79000.0
244,RL,10762,2009,120000.0
245,RL,8880,2010,205000.0
246,RL,10400,2006,241500.0
247,RM,9142,2006,137000.0
248,RL,11310,2006,140000.0
249,RL,11317,2007,180000.0
250,RL,159000,2007,277000.0
251,RL,5350,2010,76500.0
252,RM,4750,2007,235000.0
253,RL,8366,2008,173000.0
254,RL,9350,2007,158000.0
255,RL,8400,2010,145000.0
256,RL,8738,2006,230000.0
257,FV,8791,2008,207500.0
258,RL,8814,2009,220000.0
259,RL,12435,2008,231500.0
260,RM,12702,2008,97000.0
261,RL,19296,2009,176000.0
262,RL,9588,2007,276000.0
263,RL,8471,2006,151000.0
264,RM,5500,2010,130000.0
265,RM,5232,2008,73000.0
266,RL,12090,2008,175500.0
267,RL,11207,2006,185000.0
268,RL,8400,2008,179500.0
269,RM,6900,2008,120500.0
270,RL,7917,2007,148000.0
271,FV,10728,2006,266000.0
272,RL,39104,2008,241500.0
273,RL,11764,2010,290000.0
274,RL,9600,2009,139000.0
275,RL,8314,2007,124500.0
276,RL,7264,2009,205000.0
277,RL,9196,2010,201000.0
278,RL,19138,2010,141000.0
279,RL,14450,2007,415298.0
280,RL,10005,2008,192000.0
281,RL,11287,2007,228500.0
282,FV,7200,2006,185000.0
283,RL,5063,2009,207500.0
284,RL,9612,2009,244600.0
285,RL,8012,2007,179200.0
286,FV,4251,2007,164700.0
287,RL,9786,2006,159000.0
288,RL,8125,2006,88000.0
289,RL,9819,2010,122000.0
290,RL,8730,2007,153575.0
291,RL,15611,2006,233230.0
292,RL,5687,2008,135900.0
293,RL,11409,2009,131000.0
294,RL,16659,2006,235000.0
295,RL,9600,2009,167000.0
296,RL,7937,2006,142500.0
297,RM,13710,2007,152000.0
298,FV,7399,2007,239000.0
299,RL,11700,2007,175000.0
300,RL,14000,2009,158500.0
301,RL,15750,2006,157000.0
302,RL,16226,2007,267000.0
303,RL,13704,2006,205000.0
304,RL,9800,2006,149900.0
305,RM,18386,2008,295000.0
306,RL,10386,2007,305900.0
307,RL,13474,2007,225000.0
308,RM,7920,2008,89500.0
309,RL,12342,2009,82500.0
310,RL,12378,2006,360000.0
311,RL,7685,2006,165600.0
312,RL,8000,2009,132000.0
313,RM,7800,2006,119900.0
314,RL,215245,2009,375000.0
315,RM,9600,2006,178000.0
316,RL,7795,2009,188500.0
317,RL,13005,2009,260000.0
318,FV,9000,2007,270000.0
319,RL,9900,2009,260000.0
320,RL,14115,2009,187500.0
321,RL,16259,2006,342643.0
322,RL,12099,2007,354000.0
323,RL,10380,2007,301000.0
324,RM,5820,2006,126175.0
325,RL,11275,2010,242000.0
326,RM,5000,2007,87000.0
327,RL,10846,2008,324000.0
328,RL,11600,2006,145250.0
329,RL,11888,2009,214500.0
330,RM,6402,2009,78000.0
331,RL,10624,2007,119000.0
332,RL,8176,2007,139000.0
333,RL,10655,2009,284000.0
334,RM,8198,2008,207000.0
335,RL,9042,2008,192000.0
336,RL,164660,2008,228950.0
337,RL,14157,2007,377426.0
338,RL,9135,2008,214000.0
339,RL,14145,2006,202500.0
340,RL,12400,2009,155000.0
341,RL,14191,2010,202900.0
342,RH,8400,2009,82000.0
343,RL,8544,2006,87500.0
344,RL,8849,2008,266000.0
345,RM,2592,2010,85000.0
346,RL,6435,2006,140200.0
347,RL,12772,2007,151500.0
348,RL,17600,2009,157500.0
349,RL,2448,2008,154000.0
350,RL,20431,2006,437154.0
351,RL,7820,2007,318061.0
352,RL,5271,2006,190000.0
353,RL,9084,2008,95000.0
354,RM,8520,2010,105900.0
355,RL,8400,2006,140000.0
356,RL,11249,2007,177500.0
357,RL,9248,2009,173000.0
358,RM,4224,2007,134000.0
359,RL,6930,2006,130000.0
360,RL,12011,2006,280000.0
361,RL,7540,2007,156000.0
362,RL,9144,2008,145000.0
363,RL,7301,2009,198500.0
364,RM,1680,2009,118000.0
365,RL,18800,2006,190000.0
366,RM,10690,2009,147000.0
367,RL,9500,2009,159000.0
368,RL,9150,2008,165000.0
369,RL,7800,2010,132000.0
370,RL,9830,2010,162000.0
371,RL,8121,2006,172400.0
372,RL,17120,2008,134432.0
373,RL,7175,2010,125000.0
374,RL,10634,2009,123000.0
375,RL,8200,2007,219500.0
376,RL,10020,2009,61000.0
377,RL,8846,2006,148000.0
378,FV,11143,2007,340000.0
379,RL,11394,2010,394432.0
380,RL,8123,2009,179000.0
381,RL,5000,2010,127000.0
382,FV,7200,2006,187750.0
383,RL,9245,2007,213500.0
384,RH,9000,2009,76000.0
385,RL,53107,2007,240000.0
386,RL,3182,2010,192000.0
387,RL,8410,2006,81000.0
388,RL,7200,2009,125000.0
389,RL,9382,2008,191000.0
390,RL,12474,2008,426000.0
391,RL,8405,2008,119000.0
392,RL,12209,2009,215000.0
393,RL,8339,2007,106500.0
394,RL,7446,2006,100000.0
395,RL,10134,2007,109000.0
396,RL,9571,2010,129000.0
397,RL,7200,2009,123000.0
398,RL,7590,2007,169500.0
399,RM,8967,2007,67000.0
400,FV,8125,2009,241000.0
401,RL,14963,2008,245500.0
402,RL,8767,2006,164990.0
403,RL,10200,2008,108000.0
404,RL,12090,2006,258000.0
405,RL,10364,2007,168000.0
406,RL,9991,2009,150000.0
407,RL,10480,2008,115000.0
408,RL,15576,2008,177000.0
409,RL,14154,2007,280000.0
410,FV,10800,2008,339750.0
411,RL,9571,2009,60000.0
412,RL,34650,2006,145000.0
413,FV,4403,2010,222000.0
414,RM,8960,2010,115000.0
415,RL,11228,2008,228000.0
416,RL,8899,2007,181134.0
417,RL,7844,2006,149500.0
418,RL,22420,2007,239000.0
419,RL,8160,2007,126000.0
420,RL,8450,2010,142000.0
421,RM,7060,2008,206300.0
422,RL,16635,2009,215000.0
423,RL,21750,2008,113000.0
424,RL,9200,2008,315000.0
425,RL,9000,2008,139000.0
426,RM,3378,2009,135000.0
427,RL,12800,2009,275000.0
428,RL,8593,2008,109008.0
429,RL,6762,2007,195400.0
430,RL,11457,2009,175000.0
431,RM,1680,2008,85400.0
432,RM,5586,2008,79900.0
433,RM,1920,2007,122500.0
434,RL,10839,2008,181000.0
435,RM,1890,2008,81000.0
436,RL,10667,2009,212000.0
437,RM,4400,2006,116000.0
438,RM,6000,2009,119000.0
439,RL,4280,2007,90350.0
440,RL,12354,2009,110000.0
441,RL,15431,2009,555000.0
442,RL,12108,2008,118000.0
443,RM,6240,2008,162900.0
444,RL,3922,2007,172500.0
445,RL,8750,2008,210000.0
446,RL,9855,2009,127500.0
447,RL,16492,2010,190000.0
448,RL,11214,2006,199900.0
449,RM,8600,2006,119500.0
450,RM,6000,2007,120000.0
451,RM,5684,2006,110000.0
452,RL,70761,2006,280000.0
453,RL,9303,2007,204000.0
454,FV,9000,2009,210000.0
455,RL,9297,2006,188000.0
456,RL,9600,2007,175500.0
457,RM,4571,2008,98000.0
458,RL,53227,2008,256000.0
459,RM,5100,2008,161000.0
460,RL,7015,2009,110000.0
461,FV,8004,2009,263435.0
462,RL,7200,2009,155000.0
463,RL,8281,2009,62383.0
464,RL,11988,2008,188700.0
465,RL,8430,2009,124000.0
466,RM,3072,2006,178740.0
467,RL,10628,2007,167000.0
468,RL,9480,2007,146500.0
469,RL,11428,2007,250000.0
470,RL,9291,2008,187000.0
471,RL,6820,2010,212000.0
472,RL,11952,2007,190000.0
473,RM,3675,2008,148000.0
474,RL,14977,2007,440000.0
475,RL,5330,2007,251000.0
476,RL,8480,2007,132500.0
477,RL,13125,2008,208900.0
478,RL,13693,2007,380000.0
479,RL,10637,2009,297000.0
480,RM,5925,2007,89471.0
481,RL,16033,2006,326000.0
482,RL,11846,2006,374000.0
483,RM,2500,2009,155000.0
484,RM,4500,2006,164000.0
485,RL,7758,2007,132500.0
486,RL,9600,2009,147000.0
487,RL,10289,2007,156000.0
488,RL,12243,2007,175000.0
489,RL,10800,2006,160000.0
490,RM,1526,2009,86000.0
491,RM,2665,2008,115000.0
492,RL,9490,2006,133000.0
493,RL,15578,2006,172785.0
494,RL,7931,2008,155000.0
495,RM,5784,2009,91300.0
496,C (all),7879,2009,34900.0
497,RL,12692,2007,430000.0
498,RL,9120,2008,184000.0
499,RL,7800,2009,130000.0
500,RL,7535,2007,120000.0
501,RM,1890,2007,113000.0
502,FV,9803,2008,226700.0
503,RL,9170,2007,140000.0
504,RL,15602,2010,289000.0
505,RL,2308,2009,147000.0
506,RM,7596,2009,124500.0
507,RL,9554,2006,215000.0
508,FV,7862,2009,208300.0
509,RM,9600,2008,161000.0
510,RL,9600,2009,124500.0
511,RL,14559,2009,164900.0
512,RL,6792,2006,202665.0
513,RL,9100,2006,129900.0
514,RL,9187,2007,134000.0
515,RL,10594,2007,96500.0
516,RL,12220,2009,402861.0
517,RL,10448,2009,158000.0
518,RL,10208,2009,265000.0
519,RL,9531,2007,211000.0
520,RL,10918,2009,234000.0
521,RL,10800,2008,106250.0
522,RL,11988,2007,150000.0
523,RM,5000,2006,159000.0
524,RL,40094,2007,184750.0
525,RL,11787,2007,315750.0
526,FV,7500,2006,176000.0
527,RL,13300,2007,132000.0
528,RL,14948,2008,446261.0
529,RL,9098,2007,86000.0
530,RL,32668,2007,200624.0
531,RL,10200,2008,175000.0
532,RM,6155,2008,128000.0
533,RL,7200,2010,107500.0
534,RL,5000,2007,39300.0
535,RL,9056,2006,178000.0
536,RL,7000,2008,107500.0
537,RL,8924,2008,188000.0
538,RL,12735,2008,111250.0
539,RL,11553,2006,158000.0
540,RL,11423,2010,272000.0
541,RL,14601,2009,315000.0
542,RL,11000,2007,248000.0
543,RL,10140,2009,213250.0
544,RH,4058,2007,133000.0
545,RL,17104,2006,179665.0
546,RL,13837,2006,229000.0
547,RL,8737,2007,210000.0
548,RL,7244,2007,129500.0
549,RM,8235,2008,125000.0
550,FV,9375,2009,263000.0
551,RL,4043,2008,140000.0
552,RM,6000,2008,112500.0
553,RL,11146,2009,255500.0
554,RL,8777,2009,108000.0
555,RL,10625,2008,284000.0
556,RM,6380,2006,113000.0
557,RL,14850,2006,141000.0
558,C (all),11040,2006,108000.0
559,RL,21872,2008,175000.0
560,RL,3196,2006,234000.0
561,RL,11341,2010,121500.0
562,RL,10010,2006,170000.0
563,RL,13907,2008,108000.0
564,RL,21780,2008,185000.0
565,RL,13346,2006,268000.0
566,RL,6858,2010,128000.0
567,RL,11198,2008,325000.0
568,RL,10171,2010,214000.0
569,RL,12327,2009,316600.0
570,RL,7032,2006,135960.0
571,RL,13101,2008,142600.0
572,RL,7332,2006,120000.0
573,RL,13159,2009,224500.0
574,RL,9967,2007,170000.0
575,RL,10500,2007,139000.0
576,RL,8480,2008,118500.0
577,RL,6292,2009,145000.0
578,RL,11777,2006,164500.0
579,FV,3604,2008,146000.0
580,RM,12150,2008,131500.0
581,RL,14585,2007,181900.0
582,RL,12704,2009,253293.0
583,RL,11841,2007,118500.0
584,RM,13500,2008,325000.0
585,RM,6120,2009,133000.0
586,RL,11443,2006,369900.0
587,RL,10267,2008,130000.0
588,RL,8740,2009,137000.0
589,RL,25095,2009,143000.0
590,RM,9100,2008,79500.0
591,RL,8320,2008,185900.0
592,RL,13478,2009,451950.0
593,RL,6600,2008,138000.0
594,RM,4435,2009,140000.0
595,RL,7990,2008,110000.0
596,RL,11302,2006,319000.0
597,RM,3600,2006,114504.0
598,RL,3922,2007,194201.0
599,RL,12984,2006,217500.0
600,RM,1950,2008,151000.0
601,RL,10927,2006,275000.0
602,RM,9000,2007,141000.0
603,RL,10041,2006,220000.0
604,FV,3182,2010,151000.0
605,RL,12803,2008,221000.0
606,RL,13600,2009,205000.0
607,RL,12464,2009,152000.0
608,RL,7800,2006,225000.0
609,RL,12168,2007,359100.0
610,RL,7943,2007,118500.0
611,RL,11050,2009,313000.0
612,RL,10395,2007,148000.0
613,RL,11885,2009,261500.0
614,RL,8402,2007,147000.0
615,RM,1491,2010,75500.0
616,RL,8800,2010,137500.0
617,RL,7861,2006,183200.0
618,RL,7227,2008,105500.0
619,RL,11694,2007,314813.0
620,RL,12244,2008,305000.0
621,RL,8248,2008,67000.0
622,RL,10800,2008,240000.0
623,RL,7064,2009,135000.0
624,FV,2117,2007,168500.0
625,RL,10400,2006,165150.0
626,RL,10000,2010,160000.0
627,RL,12342,2007,139900.0
628,RL,9600,2010,153000.0
629,RL,11606,2007,135000.0
630,RL,9020,2008,168500.0
631,RM,9000,2006,124000.0
632,RL,4590,2007,209500.0
633,RL,11900,2009,82500.0
634,RL,9250,2007,139400.0
635,RL,6979,2010,144000.0
636,RH,10896,2007,200000.0
637,RM,6120,2009,60000.0
638,RM,6000,2009,93000.0
639,RL,8777,2008,85000.0
640,RL,3982,2006,264561.0
641,RL,12677,2008,274000.0
642,FV,7050,2007,226000.0
643,RL,13860,2009,345000.0
644,RL,10793,2007,152000.0
645,FV,9187,2009,370878.0
646,RL,10530,2007,143250.0
647,RL,7200,2008,98300.0
648,RL,10452,2008,155000.0
649,RL,7700,2010,155000.0
650,RM,1936,2007,84500.0
651,FV,8125,2008,205950.0
652,RL,9084,2009,108000.0
653,RL,8750,2009,191000.0
654,RM,10320,2008,135000.0
655,RL,10437,2008,350000.0
656,RM,1680,2010,88000.0
657,RL,10007,2008,145500.0
658,RL,7200,2008,149000.0
659,RL,17503,2010,97500.0
660,RL,9937,2009,167000.0
661,RL,12384,2007,197900.0
662,RL,46589,2009,402000.0
663,RL,13560,2009,110000.0
664,RL,10012,2008,137500.0
665,RL,20896,2006,423000.0
666,RL,11194,2006,230500.0
667,RL,18450,2007,129000.0
668,RL,8125,2008,193500.0
669,RL,14175,2006,168000.0
670,RL,11600,2006,137500.0
671,RL,8633,2009,173500.0
672,RH,6629,2009,103600.0
673,RL,11250,2006,165000.0
674,RL,14442,2007,257500.0
675,RL,9200,2008,140000.0
676,RL,2289,2009,148500.0
677,RM,9600,2006,87000.0
678,RL,9022,2009,109500.0
679,RL,11844,2009,372500.0
680,RL,9945,2007,128500.0
681,RL,8012,2010,143000.0
682,RH,4500,2009,159434.0
683,RL,2887,2008,173000.0
684,RL,11248,2007,285000.0
685,RL,16770,2010,221000.0
686,RL,5062,2007,207500.0
687,FV,10207,2007,227875.0
688,FV,5105,2007,148800.0
689,RL,8089,2007,392000.0
690,RL,7577,2007,194700.0
691,RM,4426,2008,141000.0
692,RL,21535,2007,755000.0
693,RL,26178,2006,335000.0
694,RL,5400,2006,108480.0
695,RM,6120,2009,141500.0
696,RL,13811,2006,176000.0
697,RM,6000,2006,89000.0
698,RL,6420,2006,123500.0
699,RL,8450,2010,138500.0
700,FV,4282,2008,196000.0
701,RL,14331,2006,312500.0
702,RL,9600,2006,140000.0
703,RL,12438,2006,361919.0
704,RM,7630,2010,140000.0
705,RL,8400,2010,213000.0
706,RM,5600,2010,55000.0
707,RL,115149,2007,302000.0
708,RL,6240,2009,254000.0
709,RL,9018,2007,179540.0
710,RL,7162,2008,109900.0
711,RL,4130,2008,52000.0
712,C (all),8712,2010,102776.0
713,RL,4671,2008,189000.0
714,RL,9873,2006,129000.0
715,RL,13517,2010,130500.0
716,RL,10140,2009,165000.0
717,RM,10800,2007,159500.0
718,RL,10000,2008,157000.0
719,RL,10542,2008,341000.0
720,RL,9920,2006,128500.0
721,RL,6563,2006,275000.0
722,RM,4426,2010,143000.0
723,RL,8120,2009,124500.0
724,RL,8172,2008,135000.0
725,RL,13286,2009,320000.0
726,RL,6960,2009,120500.0
727,RL,21695,2009,222000.0
728,RL,7314,2009,194500.0
729,RL,11475,2009,110000.0
730,RM,6240,2009,103000.0
731,RL,5389,2010,236500.0
732,RL,9590,2007,187500.0
733,RL,11404,2008,222500.0
734,RL,10000,2009,131400.0
735,RL,8978,2007,108000.0
736,RM,10800,2006,163000.0
737,RL,8544,2006,93500.0
738,RL,10463,2006,239900.0
739,RL,10800,2009,179000.0
740,RL,9313,2009,190000.0
741,RM,9600,2007,132000.0
742,RL,6768,2008,142000.0
743,RL,8450,2007,179000.0
744,RL,12886,2009,175000.0
745,RL,5395,2008,180000.0
746,RL,8963,2008,299800.0
747,RL,8795,2009,236000.0
748,RM,11700,2009,265979.0
749,RL,10593,2010,260400.0
750,RL,8405,2009,98000.0
751,RM,8800,2010,96500.0
752,RL,7750,2007,162000.0
753,RL,9236,2006,217000.0
754,RL,10240,2006,275500.0
755,RL,7930,2009,156000.0
756,FV,3230,2009,172500.0
757,RL,10769,2009,212000.0
758,RL,11616,2010,158900.0
759,FV,2280,2008,179400.0
760,RL,12257,2007,290000.0
761,RL,9100,2009,127500.0
762,RM,6911,2009,100000.0
763,FV,8640,2010,215200.0
764,RL,9430,2009,337000.0
765,RL,9549,2006,270000.0
766,RL,14587,2008,264132.0
767,RL,10421,2010,196500.0
768,RL,12508,2008,160000.0
769,RL,9100,2006,216837.0
770,RL,53504,2010,538000.0
771,RL,7252,2009,134900.0
772,RL,8877,2006,102000.0
773,RL,7819,2010,107000.0
774,RL,10150,2007,114500.0
775,RL,14226,2007,395000.0
776,RM,4500,2009,162000.0
777,RL,11210,2006,221500.0
778,RL,13350,2006,142500.0
779,RH,8400,2007,144000.0
780,RL,10530,2006,135000.0
781,RL,7875,2007,176000.0
782,RL,7153,2006,175900.0
783,RL,16285,2009,187100.0
784,RL,9101,2009,165500.0
785,RM,6300,2008,128000.0
786,RL,9790,2009,161500.0
787,RM,10800,2010,139000.0
788,RL,10142,2010,233000.0
789,RM,6000,2008,107900.0
790,RL,12205,2007,187500.0
791,RL,3182,2009,160200.0
792,RL,11333,2007,146800.0
793,RL,9920,2007,269790.0
794,RL,9158,2007,225000.0
795,RL,10832,2008,194500.0
796,RL,8400,2010,171000.0
797,RL,8197,2007,143500.0
798,RL,7677,2008,110000.0
799,RL,13518,2009,485000.0
800,RL,7200,2007,175000.0
801,RL,12798,2008,200000.0
802,RM,4800,2007,109900.0
803,RL,8199,2008,189000.0
804,RL,13891,2009,582933.0
805,RL,9000,2006,118000.0
806,RL,12274,2008,227680.0
807,RL,9750,2006,135500.0
808,RL,21384,2009,223500.0
809,RL,13400,2006,159950.0
810,RM,8100,2009,106000.0
811,RL,10140,2006,181000.0
812,RM,4438,2008,144500.0
813,C (all),8712,2010,55993.0
814,RL,9750,2007,157900.0
815,RL,8248,2006,116000.0
816,RL,12137,2010,224900.0
817,RL,11425,2006,137000.0
818,RL,13265,2008,271000.0
819,RL,8816,2010,155000.0
820,RL,6371,2010,224000.0
821,RL,7226,2008,183000.0
822,RM,6000,2009,93000.0
823,RL,12394,2007,225000.0
824,RL,9900,2009,139500.0
825,FV,11216,2006,232600.0
826,RL,14803,2008,385000.0
827,RM,6130,2008,109500.0
828,RL,8529,2009,189000.0
829,RL,28698,2009,185000.0
830,FV,2544,2006,147400.0
831,RL,11900,2008,166000.0
832,FV,3180,2006,151000.0
833,RL,9548,2010,237000.0
834,RL,10004,2009,167000.0
835,RL,7875,2008,139950.0
836,RL,9600,2010,128000.0
837,RM,8100,2007,153500.0
838,RM,1680,2008,100000.0
839,RL,9525,2008,144000.0
840,RL,11767,2008,130500.0
841,RH,12155,2008,140000.0
842,RM,10440,2008,157500.0
843,RL,9020,2008,174900.0
844,RL,8000,2007,141000.0
845,RM,12665,2008,153900.0
846,RL,16647,2007,171000.0
847,RL,9317,2009,213000.0
848,RL,15523,2009,133500.0
849,RL,45600,2008,240000.0
850,RL,9600,2007,187000.0
851,RM,4435,2007,131500.0
852,RL,3196,2006,215000.0
853,RL,7128,2007,164000.0
854,RL,12095,2009,158000.0
855,RL,17920,2006,170000.0
856,RL,6897,2010,127000.0
857,RL,10970,2008,147000.0
858,RL,8125,2009,174000.0
859,RL,10400,2009,152000.0
860,RL,11029,2006,250000.0
861,RL,7642,2007,189950.0
862,RL,11625,2010,131500.0
863,RL,9672,2010,152000.0
864,RL,7931,2009,132500.0
865,FV,8640,2008,250580.0
866,RL,8750,2009,148500.0
867,RL,10656,2007,248900.0
868,RL,6970,2007,129000.0
869,RL,14762,2006,169000.0
870,RL,9938,2010,236000.0
871,RL,6600,2009,109500.0
