Id,MSZoning,LotArea,LotShape,OverallCond,YearBuilt,RoofStyle,Foundation,TotalBsmtSF,Heating,Electrical,GrLivArea,KitchenQual,TotRmsAbvGrd,GarageType,GarageYrBlt,GarageArea,GarageCond,YrSold,SalePrice
14,RL,10652,IR1,5,2006,Gable,PConc,1494.0,GasA,SBrkr,1494,Gd,7,Attchd,2006.0,840.0,TA,2007,279500.0
15,RL,10920,IR1,5,1960,Hip,CBlock,1253.0,GasA,SBrkr,1253,TA,5,Attchd,1960.0,352.0,TA,2008,157000.0
16,RM,6120,Reg,8,1929,Gable,BrkTil,832.0,GasA,FuseA,854,TA,5,Detchd,1991.0,576.0,TA,2007,132000.0
17,RL,11241,IR1,7,1970,Gable,CBlock,1004.0,GasA,SBrkr,1004,TA,5,Attchd,1970.0,480.0,TA,2010,149000.0
18,RL,10791,Reg,5,1967,Gable,Slab,0.0,GasA,SBrkr,1296,TA,6,CarPort,1967.0,516.0,TA,2006,90000.0
19,RL,13695,Reg,5,2004,Gable,PConc,1114.0,GasA,SBrkr,1114,Gd,6,Detchd,2004.0,576.0,TA,2008,159000.0
20,RL,7560,Reg,6,1958,Hip,CBlock,1029.0,GasA,SBrkr,1339,TA,6,Attchd,1958.0,294.0,TA,2009,139000.0
21,RL,14215,IR1,5,2005,Gable,PConc,1158.0,GasA,SBrkr,2376,Gd,9,BuiltIn,2005.0,853.0,TA,2006,325300.0
22,RM,7449,Reg,7,1930,Gable,PConc,637.0,GasA,FuseF,1108,Gd,6,Attchd,1930.0,280.0,TA,2007,139400.0
23,RL,9742,Reg,5,2002,Hip,PConc,1777.0,GasA,SBrkr,1795,Gd,7,Attchd,2002.0,534.0,TA,2008,230000.0
24,RM,4224,Reg,7,1976,Gable,PConc,1040.0,GasA,SBrkr,1060,TA,6,Attchd,1976.0,572.0,TA,2007,129900.0
25,RL,8246,IR1,8,1968,Gable,CBlock,1060.0,GasA,SBrkr,1060,Gd,6,Attchd,1968.0,270.0,TA,2010,154000.0
26,RL,14230,Reg,5,2007,Gable,PConc,1566.0,GasA,SBrkr,1600,Gd,7,Attchd,2007.0,890.0,TA,2009,256300.0
27,RL,7200,Reg,7,1951,Gable,CBlock,900.0,GasA,SBrkr,900,Gd,5,Detchd,2005.0,576.0,TA,2010,134800.0
28,RL,11478,Reg,5,2007,Gable,PConc,1704.0,GasA,SBrkr,1704,Gd,7,Attchd,2008.0,772.0,TA,2010,306000.0
29,RL,16321,IR1,6,1957,Gable,CBlock,1484.0,GasA,SBrkr,1600,TA,6,Attchd,1957.0,319.0,TA,2006,207500.0
30,RM,6324,IR1,6,1927,Gable,BrkTil,520.0,GasA,SBrkr,520,Fa,4,Detchd,1920.0,240.0,TA,2008,68500.0
31,C (all),8500,Reg,4,1920,Gambrel,BrkTil,649.0,GasA,SBrkr,1317,TA,6,Detchd,1920.0,250.0,Fa,2008,40000.0
32,RL,8544,IR1,6,1966,Gable,CBlock,1228.0,GasA,SBrkr,1228,Gd,6,Attchd,1966.0,271.0,TA,2008,149350.0
33,RL,11049,Reg,5,2007,Gable,PConc,1234.0,GasA,SBrkr,1234,Gd,7,Attchd,2007.0,484.0,TA,2008,179900.0
34,RL,10552,IR1,5,1959,Hip,CBlock,1398.0,GasA,SBrkr,1700,Gd,6,Attchd,1959.0,447.0,TA,2010,165500.0
35,RL,7313,Reg,5,2005,Hip,PConc,1561.0,GasA,SBrkr,1561,Ex,6,Attchd,2005.0,556.0,TA,2007,277500.0
36,RL,13418,Reg,5,2004,Gable,PConc,1117.0,GasA,SBrkr,2452,Gd,9,BuiltIn,2004.0,691.0,TA,2006,309000.0
37,RL,10859,Reg,5,1994,Gable,PConc,1097.0,GasA,SBrkr,1097,TA,6,Attchd,1995.0,672.0,TA,2009,145000.0
38,RL,8532,Reg,6,1954,Hip,CBlock,1297.0,GasA,SBrkr,1297,TA,5,Attchd,1954.0,498.0,TA,2009,153000.0
39,RL,7922,Reg,7,1953,Gable,CBlock,1057.0,GasA,SBrkr,1057,Gd,5,Detchd,1953.0,246.0,TA,2010,109000.0
41,RL,8658,Reg,5,1965,Gable,CBlock,1088.0,GasA,SBrkr,1324,TA,6,Attchd,1965.0,440.0,TA,2006,160000.0
42,RL,16905,Reg,6,1959,Gable,CBlock,1350.0,GasA,SBrkr,1328,TA,5,Attchd,1959.0,308.0,TA,2007,170000.0
43,RL,9180,IR1,7,1983,Gable,CBlock,840.0,GasA,SBrkr,884,Gd,5,Attchd,1983.0,504.0,Gd,2007,144000.0
44,RL,9200,IR1,6,1975,Hip,CBlock,938.0,GasA,SBrkr,938,TA,5,Detchd,1977.0,308.0,TA,2008,130250.0
45,RL,7945,Reg,6,1959,Gable,CBlock,1150.0,GasA,FuseA,1150,TA,6,Attchd,1959.0,300.0,TA,2006,141000.0
46,RL,7658,Reg,5,2005,Hip,PConc,1752.0,GasA,SBrkr,1752,Ex,6,Attchd,2005.0,576.0,TA,2010,319900.0
47,RL,12822,IR1,5,2003,Gable,PConc,1434.0,GasA,SBrkr,2149,Gd,6,Attchd,2003.0,670.0,TA,2009,239686.0
48,FV,11096,Reg,5,2006,Gable,PConc,1656.0,GasA,SBrkr,1656,Gd,7,Attchd,2006.0,826.0,TA,2007,249700.0
50,RL,7742,Reg,7,1966,Gable,CBlock,955.0,GasA,SBrkr,955,TA,6,Attchd,1966.0,386.0,TA,2007,127000.0
51,RL,13869,IR2,6,1997,Gable,PConc,794.0,GasA,SBrkr,1470,TA,6,Attchd,1997.0,388.0,TA,2007,177000.0
52,RM,6240,Reg,6,1934,Gable,PConc,816.0,GasA,SBrkr,1176,TA,6,Detchd,1985.0,528.0,TA,2006,114500.0
53,RM,8472,IR2,5,1963,Gable,CBlock,816.0,GasA,SBrkr,816,TA,5,CarPort,1963.0,516.0,TA,2010,110000.0
54,RL,50271,IR1,5,1981,Gable,CBlock,1842.0,GasA,SBrkr,1842,Gd,5,Attchd,1981.0,894.0,TA,2006,385000.0
55,RL,7134,Reg,5,1955,Gable,CBlock,384.0,GasA,SBrkr,1360,TA,6,Detchd,1962.0,572.0,TA,2007,130000.0
56,RL,10175,IR1,5,1964,Gable,CBlock,1425.0,GasA,SBrkr,1425,TA,7,Attchd,1964.0,576.0,TA,2008,180500.0
57,FV,2645,Reg,5,1999,Gable,PConc,970.0,GasA,SBrkr,1739,Gd,7,Attchd,1999.0,480.0,TA,2009,172500.0
58,RL,11645,IR1,5,2004,Gable,PConc,860.0,GasA,SBrkr,1720,Gd,7,Attchd,2004.0,565.0,TA,2006,196500.0
59,RL,13682,IR2,5,2006,Hip,PConc,1410.0,GasA,SBrkr,2945,Gd,10,BuiltIn,2006.0,641.0,TA,2006,438780.0
60,RL,7200,Reg,7,1972,Gable,CBlock,780.0,GasA,SBrkr,780,TA,4,Detchd,1973.0,352.0,TA,2008,124900.0
61,RL,13072,Reg,5,2004,Gable,PConc,1158.0,GasA,SBrkr,1158,Gd,5,Detchd,2006.0,576.0,TA,2006,158000.0
62,RM,7200,Reg,7,1920,Gable,BrkTil,530.0,GasA,SBrkr,1111,Fa,6,Detchd,1935.0,288.0,TA,2007,101000.0
63,RL,6442,IR1,5,2006,Gable,PConc,1370.0,GasA,SBrkr,1370,Gd,6,Attchd,2006.0,484.0,TA,2007,202500.0
64,RM,10300,IR1,6,1921,Gable,BrkTil,576.0,GasA,SBrkr,1710,TA,9,Detchd,1990.0,480.0,TA,2010,140000.0
65,RL,9375,Reg,5,1997,Gable,PConc,1057.0,GasA,SBrkr,2034,Gd,8,Attchd,1998.0,645.0,TA,2009,219500.0
66,RL,9591,Reg,5,2004,Gable,PConc,1143.0,GasA,SBrkr,2473,Gd,9,BuiltIn,2004.0,852.0,TA,2007,317000.0
67,RL,19900,Reg,5,1970,Gable,CBlock,1947.0,GasA,SBrkr,2207,TA,7,Attchd,1970.0,576.0,TA,2010,180000.0
68,RL,10665,IR1,5,2003,Gable,PConc,1453.0,GasA,SBrkr,1479,Gd,7,Attchd,2003.0,558.0,TA,2007,226000.0
69,RM,4608,Reg,6,1945,Gable,CBlock,747.0,GasA,SBrkr,747,TA,4,Attchd,1945.0,220.0,TA,2010,80000.0
70,RL,15593,Reg,4,1953,Gable,CBlock,1304.0,GasW,SBrkr,2287,TA,7,Attchd,1953.0,667.0,TA,2006,225000.0
71,RL,13651,IR1,6,1973,Gable,CBlock,2223.0,GasA,SBrkr,2223,TA,8,Attchd,1973.0,516.0,TA,2007,244000.0
72,RL,7599,Reg,6,1982,Gable,CBlock,845.0,GasA,SBrkr,845,TA,4,Detchd,1987.0,360.0,TA,2007,129500.0
73,RL,10141,IR1,5,1998,Gable,PConc,832.0,GasA,SBrkr,1718,TA,7,Attchd,1998.0,427.0,TA,2009,185000.0
74,RL,10200,Reg,7,1954,Gable,CBlock,1086.0,GasA,SBrkr,1086,TA,6,Attchd,1989.0,490.0,TA,2010,144900.0
75,RM,5790,Reg,6,1915,Gambrel,CBlock,840.0,GasA,SBrkr,1605,TA,8,Detchd,1915.0,379.0,TA,2010,107400.0
76,RM,1596,Reg,5,1973,Gable,CBlock,462.0,GasA,SBrkr,988,TA,5,BuiltIn,1973.0,297.0,TA,2009,91000.0
77,RL,8475,IR1,7,1956,Gable,CBlock,952.0,GasA,FuseA,952,TA,4,Detchd,1956.0,283.0,TA,2008,135750.0
78,RM,8635,Reg,5,1948,Gable,CBlock,672.0,GasA,SBrkr,1285,TA,6,Detchd,1948.0,240.0,TA,2008,127000.0
80,RM,10440,Reg,6,1910,Gable,PConc,440.0,GasA,SBrkr,1230,TA,5,Detchd,1966.0,440.0,TA,2009,110000.0
81,RL,13000,Reg,6,1968,Gable,CBlock,896.0,GasA,SBrkr,2142,Gd,8,Attchd,1968.0,509.0,TA,2009,193500.0
82,RM,4500,Reg,5,1998,Hip,PConc,1237.0,GasA,SBrkr,1337,TA,5,Attchd,1998.0,405.0,TA,2006,153500.0
83,RL,10206,Reg,5,2007,Gable,PConc,1563.0,GasA,SBrkr,1563,Gd,6,Attchd,2007.0,758.0,TA,2008,245000.0
84,RL,8892,IR1,5,1960,Gable,CBlock,1065.0,GasA,SBrkr,1065,TA,6,Detchd,1974.0,461.0,TA,2007,126500.0
85,RL,8530,IR1,5,1995,Gable,PConc,384.0,GasA,SBrkr,1474,TA,7,BuiltIn,1995.0,400.0,TA,2009,168500.0
86,RL,16059,Reg,5,1991,Hip,CBlock,1288.0,GasA,SBrkr,2417,Gd,9,Attchd,1991.0,462.0,TA,2006,260000.0
87,RL,11911,IR2,5,2005,Gable,PConc,684.0,GasA,SBrkr,1560,Gd,6,BuiltIn,2005.0,400.0,TA,2009,174000.0
88,FV,3951,Reg,5,2009,Gable,PConc,612.0,GasA,SBrkr,1224,Gd,4,Detchd,2009.0,528.0,TA,2009,164500.0
91,RL,7200,Reg,5,1950,Gable,Slab,0.0,GasA,FuseA,1040,TA,4,Detchd,1950.0,420.0,TA,2006,109900.0
92,RL,8500,Reg,3,1961,Hip,CBlock,1235.0,GasA,SBrkr,1235,TA,6,Attchd,1961.0,480.0,TA,2006,98600.0
93,RL,13360,IR1,7,1921,Gable,BrkTil,876.0,GasA,SBrkr,964,TA,5,Detchd,1921.0,432.0,TA,2009,163500.0
94,C (all),7200,Reg,6,1910,Hip,BrkTil,1214.0,GasW,SBrkr,2291,TA,9,Detchd,1900.0,506.0,TA,2007,133900.0
95,RL,9337,IR1,5,1997,Gable,PConc,824.0,GasA,SBrkr,1786,Gd,7,Attchd,1997.0,684.0,TA,2007,204750.0
96,RL,9765,IR2,8,1993,Gable,PConc,680.0,GasA,SBrkr,1470,TA,6,BuiltIn,1993.0,420.0,TA,2009,185000.0
97,RL,10264,IR1,5,1999,Gable,PConc,1588.0,GasA,SBrkr,1588,Gd,6,Attchd,1999.0,472.0,TA,2006,214000.0
98,RL,10921,Reg,5,1965,Hip,CBlock,960.0,GasA,FuseF,960,TA,6,Attchd,1965.0,432.0,TA,2007,94750.0
99,RL,10625,Reg,5,1920,Gable,BrkTil,458.0,GasA,SBrkr,835,TA,5,Basment,1920.0,366.0,TA,2010,83000.0
101,RL,10603,IR1,7,1977,Gable,PConc,1610.0,GasA,SBrkr,1610,Gd,6,Attchd,1977.0,480.0,TA,2010,205000.0
102,RL,9206,Reg,5,1985,Gable,CBlock,741.0,GasA,SBrkr,1732,Gd,7,Attchd,1985.0,476.0,TA,2010,178000.0
103,RL,7018,Reg,5,1979,Gable,Slab,0.0,GasA,SBrkr,1535,TA,8,Attchd,1979.0,410.0,TA,2009,118964.0
104,RL,10402,IR1,5,2009,Gable,PConc,1226.0,GasA,SBrkr,1226,Gd,6,Attchd,2009.0,740.0,TA,2010,198900.0
105,RM,7758,Reg,4,1931,Gable,PConc,1040.0,GasA,FuseF,1818,TA,7,Detchd,1951.0,240.0,TA,2007,169500.0
106,FV,9375,Reg,5,2003,Hip,PConc,1053.0,GasA,SBrkr,1992,Gd,9,Attchd,2003.0,648.0,TA,2008,250000.0
107,RM,10800,Reg,7,1885,Mansard,BrkTil,641.0,GasA,SBrkr,1047,TA,6,Detchd,1954.0,273.0,Fa,2007,100000.0
108,RM,6000,Reg,5,1948,Gable,CBlock,789.0,GasA,SBrkr,789,TA,5,Detchd,1948.0,250.0,TA,2008,115000.0
110,RL,11751,IR1,6,1977,Hip,CBlock,1844.0,GasA,SBrkr,1844,TA,7,Attchd,1977.0,546.0,TA,2010,190000.0
111,RL,9525,Reg,4,1954,Gable,CBlock,994.0,GasA,SBrkr,1855,TA,7,Attchd,1954.0,325.0,TA,2006,136900.0
112,RL,7750,IR1,5,2000,Gable,PConc,384.0,GasA,SBrkr,1430,TA,7,BuiltIn,2000.0,400.0,TA,2010,180000.0
113,RL,9965,Reg,5,2007,Gable,PConc,1264.0,GasA,SBrkr,2696,Ex,10,BuiltIn,2007.0,792.0,TA,2007,383970.0
114,RL,21000,Reg,5,1953,Hip,CBlock,1809.0,GasA,SBrkr,2259,Gd,7,Basment,1953.0,450.0,TA,2007,217000.0
115,RL,7259,IR1,8,1945,Gambrel,CBlock,1028.0,GasA,SBrkr,2320,Gd,9,Detchd,1945.0,180.0,TA,2007,259500.0
116,FV,3230,Reg,5,1999,Gable,PConc,729.0,GasA,SBrkr,1458,TA,5,Detchd,1999.0,440.0,TA,2007,176000.0
117,RL,11616,Reg,5,1962,Gable,CBlock,1092.0,GasA,SBrkr,1092,TA,6,Attchd,1962.0,288.0,TA,2009,139000.0
118,RL,8536,Reg,5,2006,Gable,PConc,1125.0,GasA,SBrkr,1125,TA,5,Attchd,2007.0,430.0,TA,2007,155000.0
119,RL,12376,Reg,5,1990,Hip,PConc,1673.0,GasA,SBrkr,3222,Gd,11,Attchd,1990.0,594.0,TA,2010,320000.0
120,RL,8461,Reg,5,2005,Gable,PConc,728.0,GasA,SBrkr,1456,Gd,8,Attchd,2005.0,390.0,TA,2006,163990.0
121,RL,21453,IR1,5,1969,Flat,CBlock,938.0,GasA,SBrkr,988,TA,4,Attchd,1969.0,540.0,TA,2006,180000.0
122,RM,6060,Reg,5,1939,Gable,PConc,732.0,GasA,SBrkr,1123,TA,4,Detchd,1979.0,264.0,TA,2007,100000.0
123,RL,9464,Reg,7,1958,Hip,CBlock,1080.0,GasA,SBrkr,1080,TA,5,Attchd,1958.0,288.0,TA,2008,136000.0
124,RL,7892,Reg,5,1993,Gable,PConc,1199.0,GasA,SBrkr,1199,Gd,5,Attchd,1993.0,530.0,TA,2008,153900.0
125,RL,17043,IR1,5,1979,Gable,CBlock,1362.0,GasA,SBrkr,1586,TA,7,Attchd,1979.0,435.0,TA,2009,181000.0
127,RL,4928,IR1,5,1976,Gable,CBlock,1078.0,GasA,SBrkr,958,TA,5,Attchd,1977.0,440.0,TA,2007,128000.0
129,RL,7590,Reg,5,1966,Gable,CBlock,660.0,GasA,SBrkr,1348,TA,6,Attchd,1966.0,453.0,TA,2006,155000.0
130,RL,8973,Reg,7,1958,Gable,CBlock,1008.0,GasA,FuseA,1053,Ex,6,2Types,1998.0,750.0,TA,2006,150000.0
131,RL,14200,Reg,6,1966,Gable,CBlock,924.0,GasA,SBrkr,2157,Gd,8,Attchd,1966.0,487.0,TA,2006,226000.0
132,RL,12224,IR1,5,2000,Gable,PConc,992.0,GasA,SBrkr,2054,Gd,7,BuiltIn,2000.0,390.0,TA,2009,244000.0
133,RL,7388,Reg,6,1959,Gable,CBlock,1063.0,GasA,SBrkr,1327,Gd,7,Detchd,1974.0,624.0,TA,2007,150750.0
134,RL,6853,IR1,5,2001,Gable,PConc,1267.0,GasA,SBrkr,1296,Gd,6,Attchd,2001.0,471.0,TA,2009,220000.0
135,RL,10335,IR1,6,1968,Gable,CBlock,1461.0,GasA,SBrkr,1721,TA,7,Attchd,1968.0,440.0,TA,2006,180000.0
136,RL,10400,Reg,6,1970,Hip,PConc,1304.0,GasA,SBrkr,1682,TA,7,Attchd,1970.0,530.0,TA,2008,174000.0
137,RL,10355,IR1,5,1967,Gable,CBlock,1214.0,GasA,SBrkr,1214,TA,5,Attchd,1967.0,318.0,TA,2007,143000.0
138,RL,11070,Reg,5,1988,Gable,CBlock,1907.0,GasA,SBrkr,1959,TA,9,2Types,1989.0,766.0,TA,2006,171000.0
139,RL,9066,IR1,5,1999,Gable,PConc,1004.0,GasA,SBrkr,1852,Gd,7,Attchd,1999.0,660.0,TA,2008,230000.0
140,RL,15426,IR1,5,1997,Gable,PConc,928.0,GasA,SBrkr,1764,Gd,7,Attchd,1997.0,470.0,TA,2009,231500.0
142,RL,11645,Reg,5,2005,Gable,PConc,1734.0,GasA,SBrkr,1734,Gd,7,Attchd,2005.0,660.0,TA,2006,260000.0
143,RL,8520,Reg,4,1952,Gable,CBlock,910.0,GasA,SBrkr,1385,TA,6,Detchd,2000.0,720.0,TA,2010,166000.0
144,RL,10335,IR1,5,1999,Gable,PConc,1490.0,GasA,SBrkr,1501,Gd,6,Attchd,1999.0,577.0,TA,2009,204000.0
145,RM,9100,Reg,5,1963,Gable,CBlock,1728.0,GasA,SBrkr,1728,TA,10,Detchd,1963.0,504.0,TA,2006,125000.0
146,RM,2522,Reg,5,2004,Gable,PConc,970.0,GasA,SBrkr,1709,Gd,7,Detchd,2004.0,380.0,TA,2006,130000.0
147,RM,6120,Reg,7,1931,Gable,BrkTil,715.0,GasA,FuseA,875,TA,5,Detchd,1931.0,180.0,TA,2009,105000.0
148,RL,9505,IR1,5,2001,Gable,PConc,884.0,GasA,SBrkr,2035,Gd,8,BuiltIn,2001.0,434.0,TA,2010,222500.0
150,RM,6240,Reg,4,1936,Gable,BrkTil,896.0,GasA,FuseA,1344,TA,7,Detchd,1936.0,240.0,TA,2006,115000.0
151,RL,10356,Reg,6,1975,Gable,CBlock,969.0,GasA,SBrkr,969,TA,5,Attchd,1975.0,440.0,TA,2007,122000.0
152,RL,13891,Reg,5,2007,Hip,PConc,1710.0,GasA,SBrkr,1710,Gd,6,Attchd,2007.0,866.0,TA,2008,372402.0
153,RL,14803,IR1,5,1971,Gable,CBlock,825.0,GasA,SBrkr,1993,TA,8,Attchd,1971.0,495.0,TA,2006,190000.0
154,RL,13500,Reg,7,1960,Flat,CBlock,1602.0,GasA,SBrkr,1252,TA,4,Attchd,1960.0,564.0,TA,2008,235000.0
155,RM,11340,Reg,5,1923,Gable,BrkTil,1200.0,GasA,FuseA,1200,TA,7,Detchd,1923.0,312.0,Fa,2006,125000.0
157,RL,7200,Reg,7,1950,Hip,CBlock,0.0,GasA,FuseF,1040,TA,5,Detchd,1950.0,625.0,TA,2006,109500.0
158,RL,12003,Reg,5,2009,Gable,PConc,774.0,GasA,SBrkr,1968,Ex,8,BuiltIn,2009.0,680.0,TA,2010,269500.0
159,FV,12552,Reg,5,2004,Gable,PConc,991.0,GasA,SBrkr,1947,Gd,8,Attchd,2004.0,678.0,TA,2010,254900.0
160,RL,19378,IR1,5,2005,Gable,PConc,1392.0,GasA,SBrkr,2462,Gd,9,Attchd,2006.0,576.0,TA,2006,320000.0
161,RL,11120,IR1,6,1984,Gable,PConc,1232.0,GasA,SBrkr,1232,TA,6,Attchd,1984.0,516.0,TA,2008,162500.0
162,RL,13688,IR1,5,2003,Gable,PConc,1572.0,GasA,SBrkr,2668,Ex,10,BuiltIn,2003.0,726.0,TA,2008,412500.0
163,RL,12182,Reg,5,2005,Gable,PConc,1541.0,GasA,SBrkr,1541,Gd,7,Attchd,2005.0,532.0,TA,2010,220000.0
165,RM,5400,Reg,7,1926,Gable,BrkTil,1149.0,GasA,FuseA,1616,Gd,5,Detchd,1926.0,216.0,TA,2007,152000.0
167,RL,10708,IR1,5,1955,Hip,CBlock,1617.0,GasA,FuseA,1867,TA,7,Attchd,1955.0,303.0,TA,2009,190000.0
168,RL,10562,Reg,5,2007,Gable,PConc,1582.0,GasA,SBrkr,2161,Ex,8,Attchd,2007.0,789.0,TA,2007,325624.0
169,RL,8244,IR1,5,2004,Gable,PConc,840.0,GasA,SBrkr,1720,Gd,7,Attchd,2004.0,440.0,TA,2007,183500.0
170,RL,16669,IR1,6,1981,Hip,CBlock,1686.0,GasA,SBrkr,1707,TA,6,Attchd,1981.0,511.0,TA,2006,228000.0
171,RM,12358,IR1,6,1941,Gable,CBlock,720.0,GasA,SBrkr,1382,TA,7,Detchd,1991.0,660.0,TA,2007,128500.0
172,RL,31770,IR1,5,1960,Hip,CBlock,1080.0,GasA,SBrkr,1656,TA,7,Attchd,1960.0,528.0,TA,2010,215000.0
173,RL,5306,IR1,7,1987,Gable,PConc,1064.0,GasA,SBrkr,1767,Gd,5,Attchd,1987.0,504.0,TA,2006,239000.0
174,RL,10197,IR1,5,1961,Gable,CBlock,1362.0,GasA,SBrkr,1362,TA,6,Attchd,1961.0,504.0,TA,2008,163000.0
175,RL,12416,IR1,5,1986,Gable,CBlock,1606.0,GasA,SBrkr,1651,TA,7,Attchd,1986.0,616.0,TA,2008,184000.0
176,RL,12615,Reg,7,1950,Gable,CBlock,1202.0,GasA,SBrkr,2158,Gd,7,Attchd,1950.0,576.0,TA,2007,243000.0
177,RL,10029,IR1,5,1988,Gable,PConc,1151.0,GasA,SBrkr,2060,TA,8,Attchd,1988.0,521.0,TA,2007,211000.0
178,RL,13650,Reg,5,1958,Gable,CBlock,1052.0,GasA,SBrkr,1920,Gd,8,Attchd,1958.0,451.0,TA,2006,172500.0
179,RL,17423,IR1,5,2008,Hip,PConc,2216.0,GasA,SBrkr,2234,Ex,9,Attchd,2009.0,1166.0,TA,2009,501837.0
180,RM,8520,Reg,6,1923,Gable,CBlock,968.0,GasA,SBrkr,968,TA,5,Detchd,1935.0,480.0,TA,2007,100000.0
181,FV,2117,Reg,5,2000,Gable,PConc,756.0,GasA,SBrkr,1525,Gd,5,Detchd,2000.0,440.0,TA,2007,177000.0
182,RL,7588,Reg,6,1920,Gable,BrkTil,793.0,GasA,SBrkr,1802,TA,9,Detchd,1920.0,216.0,TA,2006,200100.0
183,RL,9060,Reg,6,1957,Hip,PConc,0.0,GasA,SBrkr,1340,TA,7,Attchd,1957.0,252.0,TA,2007,120000.0
184,RM,11426,Reg,5,2003,Gable,PConc,1362.0,GasA,SBrkr,2082,Gd,6,Detchd,2003.0,484.0,TA,2008,200000.0
185,RL,7438,IR1,8,1908,Gable,PConc,504.0,GasA,SBrkr,1252,TA,5,Attchd,1986.0,576.0,TA,2006,127000.0
186,RM,22950,IR2,9,1892,Gable,BrkTil,1107.0,GasA,SBrkr,3608,Ex,12,Detchd,1993.0,840.0,TA,2006,475000.0
187,RL,9947,IR1,5,1990,Gable,PConc,1188.0,GasA,SBrkr,1217,Gd,6,Attchd,1990.0,497.0,TA,2009,173000.0
188,RL,10410,Reg,7,1916,Gable,CBlock,660.0,GasA,SBrkr,1656,TA,8,Detchd,1916.0,180.0,Fa,2009,135000.0
189,RL,7018,Reg,5,1979,Gable,CBlock,1086.0,GasA,SBrkr,1224,TA,6,Detchd,1979.0,528.0,TA,2009,153337.0
190,RL,4923,Reg,5,2001,Gable,PConc,1593.0,GasA,SBrkr,1593,Ex,5,Attchd,2001.0,682.0,TA,2008,286000.0
191,RL,10570,Reg,8,1932,Hip,CBlock,853.0,GasA,SBrkr,2727,Gd,10,Detchd,1932.0,440.0,TA,2007,315000.0
192,RL,7472,IR1,9,1972,Gable,CBlock,725.0,GasA,SBrkr,1479,Gd,7,Attchd,1972.0,484.0,TA,2007,184000.0
193,RL,9017,IR1,5,1999,Gable,PConc,1431.0,GasA,SBrkr,1431,Gd,6,Attchd,1999.0,666.0,TA,2009,192000.0
194,RM,2522,Reg,5,2004,Gable,PConc,970.0,GasA,SBrkr,1709,Gd,7,Detchd,2004.0,380.0,TA,2006,130000.0
195,RL,7180,IR1,7,1972,Hip,CBlock,864.0,GasA,SBrkr,864,TA,5,Detchd,1989.0,352.0,TA,2008,127000.0
196,RL,2280,Reg,6,1976,Gable,CBlock,855.0,GasA,SBrkr,1456,TA,7,Attchd,1976.0,440.0,TA,2009,148500.0
197,RL,9416,Reg,5,2007,Hip,PConc,1726.0,GasA,SBrkr,1726,Ex,8,Attchd,2007.0,786.0,TA,2007,311872.0
198,RL,25419,Reg,4,1918,Gable,PConc,1360.0,GasA,SBrkr,3112,Gd,8,Detchd,1918.0,795.0,TA,2006,235000.0
200,RL,9591,Reg,5,2004,Hip,PConc,1713.0,GasA,SBrkr,1713,Ex,7,Attchd,2004.0,856.0,TA,2009,274900.0
201,RM,8546,Reg,5,2003,Gable,PConc,1121.0,GasA,SBrkr,1121,TA,5,Attchd,2003.0,440.0,TA,2010,140000.0
