No,year,month,day,hour,pm2.5
8447,2010,12,18,22,308.0
8448,2010,12,18,23,454.0
8449,2010,12,19,0,528.0
8450,2010,12,19,1,485.0
8451,2010,12,19,2,489.0
8452,2010,12,19,3,404.0
8482,2010,12,20,9,311.0
8483,2010,12,20,10,352.0
8496,2010,12,20,23,311.0
8497,2010,12,21,0,410.0
8498,2010,12,21,1,405.0
8499,2010,12,21,2,391.0
8500,2010,12,21,3,397.0
8501,2010,12,21,4,396.0
8502,2010,12,21,5,367.0
8503,2010,12,21,6,346.0
8504,2010,12,21,7,340.0
8508,2010,12,21,11,430.0
8509,2010,12,21,12,441.0
8510,2010,12,21,13,425.0
8511,2010,12,21,14,439.0
8512,2010,12,21,15,427.0
8513,2010,12,21,16,474.0
8514,2010,12,21,17,500.0
8515,2010,12,21,18,548.0
8516,2010,12,21,19,584.0
8517,2010,12,21,20,607.0
8518,2010,12,21,21,611.0
8519,2010,12,21,22,615.0
8520,2010,12,21,23,587.0
8521,2010,12,22,0,570.0
8522,2010,12,22,1,573.0
8523,2010,12,22,2,513.0
8524,2010,12,22,3,397.0
8525,2010,12,22,4,365.0
9554,2011,2,3,1,348.0
9578,2011,2,4,1,378.0
9861,2011,2,15,20,301.0
9863,2011,2,15,22,331.0
9864,2011,2,15,23,328.0
9865,2011,2,16,0,335.0
9866,2011,2,16,1,312.0
9890,2011,2,17,1,327.0
9891,2011,2,17,2,328.0
9892,2011,2,17,3,316.0
9893,2011,2,17,4,315.0
9911,2011,2,17,22,404.0
9912,2011,2,17,23,422.0
9913,2011,2,18,0,411.0
9914,2011,2,18,1,345.0
9915,2011,2,18,2,353.0
9916,2011,2,18,3,399.0
9917,2011,2,18,4,384.0
9964,2011,2,20,3,355.0
9965,2011,2,20,4,342.0
9973,2011,2,20,12,379.0
9974,2011,2,20,13,437.0
9975,2011,2,20,14,477.0
9976,2011,2,20,15,510.0
9977,2011,2,20,16,526.0
9978,2011,2,20,17,492.0
9979,2011,2,20,18,472.0
9980,2011,2,20,19,474.0
9981,2011,2,20,20,482.0
9982,2011,2,20,21,482.0
9983,2011,2,20,22,477.0
9984,2011,2,20,23,480.0
9985,2011,2,21,0,527.0
9986,2011,2,21,1,486.0
9987,2011,2,21,2,493.0
9988,2011,2,21,3,515.0
9989,2011,2,21,4,595.0
9990,2011,2,21,5,563.0
9991,2011,2,21,6,563.0
9992,2011,2,21,7,528.0
9993,2011,2,21,8,515.0
9994,2011,2,21,9,495.0
9995,2011,2,21,10,486.0
9996,2011,2,21,11,508.0
9997,2011,2,21,12,464.0
9998,2011,2,21,13,430.0
9999,2011,2,21,14,452.0
10000,2011,2,21,15,489.0
10001,2011,2,21,16,477.0
10002,2011,2,21,17,425.0
10003,2011,2,21,18,407.0
10004,2011,2,21,19,498.0
10005,2011,2,21,20,492.0
10006,2011,2,21,21,492.0
10007,2011,2,21,22,476.0
10008,2011,2,21,23,478.0
10009,2011,2,22,0,499.0
10010,2011,2,22,1,489.0
10011,2011,2,22,2,494.0
10012,2011,2,22,3,481.0
10013,2011,2,22,4,445.0
10014,2011,2,22,5,431.0
10015,2011,2,22,6,423.0
10016,2011,2,22,7,457.0
10017,2011,2,22,8,434.0
10018,2011,2,22,9,391.0
10019,2011,2,22,10,347.0
10021,2011,2,22,12,343.0
10022,2011,2,22,13,322.0
10023,2011,2,22,14,360.0
10024,2011,2,22,15,376.0
10025,2011,2,22,16,369.0
10026,2011,2,22,17,354.0
10027,2011,2,22,18,335.0
10028,2011,2,22,19,394.0
10029,2011,2,22,20,397.0
10030,2011,2,22,21,395.0
10031,2011,2,22,22,401.0
10032,2011,2,22,23,406.0
10033,2011,2,23,0,399.0
10034,2011,2,23,1,373.0
10035,2011,2,23,2,396.0
10036,2011,2,23,3,461.0
10037,2011,2,23,4,455.0
10038,2011,2,23,5,415.0
10039,2011,2,23,6,406.0
10040,2011,2,23,7,421.0
10041,2011,2,23,8,420.0
10042,2011,2,23,9,393.0
10043,2011,2,23,10,389.0
10044,2011,2,23,11,401.0
10045,2011,2,23,12,403.0
10046,2011,2,23,13,406.0
10047,2011,2,23,14,469.0
10048,2011,2,23,15,409.0
10049,2011,2,23,16,397.0
10050,2011,2,23,17,387.0
10051,2011,2,23,18,396.0
10052,2011,2,23,19,436.0
10053,2011,2,23,20,470.0
10054,2011,2,23,21,451.0
10055,2011,2,23,22,436.0
10056,2011,2,23,23,411.0
10057,2011,2,24,0,418.0
10058,2011,2,24,1,424.0
10059,2011,2,24,2,413.0
10060,2011,2,24,3,404.0
10061,2011,2,24,4,397.0
10461,2011,3,12,20,367.0
10462,2011,3,12,21,416.0
10463,2011,3,12,22,415.0
10464,2011,3,12,23,360.0
10465,2011,3,13,0,379.0
10466,2011,3,13,1,377.0
10467,2011,3,13,2,400.0
10468,2011,3,13,3,368.0
10469,2011,3,13,4,351.0
10470,2011,3,13,5,339.0
10471,2011,3,13,6,320.0
10472,2011,3,13,7,339.0
10473,2011,3,13,8,332.0
10474,2011,3,13,9,318.0
10919,2011,3,31,22,328.0
12902,2011,6,22,13,337.0
12903,2011,6,22,14,402.0
12904,2011,6,22,15,432.0
12905,2011,6,22,16,442.0
12906,2011,6,22,17,459.0
12907,2011,6,22,18,445.0
12908,2011,6,22,19,352.0
12909,2011,6,22,20,399.0
13635,2011,7,23,2,321.0
13639,2011,7,23,6,307.0
13640,2011,7,23,7,335.0
13641,2011,7,23,8,330.0
13642,2011,7,23,9,334.0
13643,2011,7,23,10,334.0
13644,2011,7,23,11,336.0
13645,2011,7,23,12,302.0
13646,2011,7,23,13,308.0
13657,2011,7,24,0,361.0
13658,2011,7,24,1,325.0
13659,2011,7,24,2,330.0
13660,2011,7,24,3,354.0
13661,2011,7,24,4,321.0
13662,2011,7,24,5,383.0
13663,2011,7,24,6,355.0
13664,2011,7,24,7,354.0
13665,2011,7,24,8,375.0
13666,2011,7,24,9,390.0
13667,2011,7,24,10,376.0
13668,2011,7,24,11,356.0
13669,2011,7,24,12,375.0
13670,2011,7,24,13,337.0
13671,2011,7,24,14,310.0
13778,2011,7,29,1,311.0
13779,2011,7,29,2,306.0
13780,2011,7,29,3,307.0
13781,2011,7,29,4,313.0
14589,2011,8,31,20,316.0
14590,2011,8,31,21,309.0
14592,2011,8,31,23,341.0
15191,2011,9,25,22,316.0
15192,2011,9,25,23,301.0
15194,2011,9,26,1,307.0
15198,2011,9,26,5,316.0
15204,2011,9,26,11,309.0
15254,2011,9,28,13,302.0
15258,2011,9,28,17,326.0
15259,2011,9,28,18,338.0
15260,2011,9,28,19,349.0
15261,2011,9,28,20,346.0
15262,2011,9,28,21,373.0
15263,2011,9,28,22,386.0
15264,2011,9,28,23,350.0
15265,2011,9,29,0,339.0
15266,2011,9,29,1,328.0
15501,2011,10,8,20,325.0
15502,2011,10,8,21,324.0
15503,2011,10,8,22,329.0
15504,2011,10,8,23,347.0
15505,2011,10,9,0,351.0
15506,2011,10,9,1,354.0
15507,2011,10,9,2,314.0
15508,2011,10,9,3,349.0
15509,2011,10,9,4,341.0
15510,2011,10,9,5,324.0
15514,2011,10,9,9,312.0
15515,2011,10,9,10,360.0
15516,2011,10,9,11,404.0
15517,2011,10,9,12,378.0
15518,2011,10,9,13,318.0
15521,2011,10,9,16,303.0
15522,2011,10,9,17,335.0
15523,2011,10,9,18,340.0
15524,2011,10,9,19,435.0
15525,2011,10,9,20,562.0
15526,2011,10,9,21,514.0
15527,2011,10,9,22,485.0
15528,2011,10,9,23,453.0
15590,2011,10,12,13,307.0
15591,2011,10,12,14,313.0
15767,2011,10,19,22,315.0
15780,2011,10,20,11,339.0
15781,2011,10,20,12,332.0
15782,2011,10,20,13,304.0
15786,2011,10,20,17,302.0
15791,2011,10,20,22,308.0
15792,2011,10,20,23,302.0
15815,2011,10,21,22,306.0
15816,2011,10,21,23,313.0
15817,2011,10,22,0,318.0
15818,2011,10,22,1,311.0
15831,2011,10,22,14,318.0
15832,2011,10,22,15,347.0
15833,2011,10,22,16,370.0
15834,2011,10,22,17,401.0
15835,2011,10,22,18,416.0
15836,2011,10,22,19,399.0
15837,2011,10,22,20,389.0
15838,2011,10,22,21,408.0
15839,2011,10,22,22,395.0
15840,2011,10,22,23,402.0
15841,2011,10,23,0,430.0
15842,2011,10,23,1,414.0
15843,2011,10,23,2,418.0
15844,2011,10,23,3,408.0
15845,2011,10,23,4,414.0
15846,2011,10,23,5,418.0
15847,2011,10,23,6,409.0
15848,2011,10,23,7,420.0
15849,2011,10,23,8,407.0
15850,2011,10,23,9,390.0
15984,2011,10,28,23,301.0
15985,2011,10,29,0,336.0
15986,2011,10,29,1,342.0
15987,2011,10,29,2,316.0
15998,2011,10,29,13,302.0
16008,2011,10,29,23,332.0
16009,2011,10,30,0,350.0
16010,2011,10,30,1,329.0
16011,2011,10,30,2,306.0
16012,2011,10,30,3,302.0
16020,2011,10,30,11,354.0
16021,2011,10,30,12,387.0
16022,2011,10,30,13,420.0
16023,2011,10,30,14,460.0
16070,2011,11,1,13,312.0
16071,2011,11,1,14,343.0
16072,2011,11,1,15,339.0
16393,2011,11,15,0,314.0
16394,2011,11,15,1,333.0
16433,2011,11,16,16,306.0
16434,2011,11,16,17,342.0
16435,2011,11,16,18,358.0
16436,2011,11,16,19,380.0
16437,2011,11,16,20,336.0
16561,2011,11,22,0,380.0
16562,2011,11,22,1,358.0
16563,2011,11,22,2,364.0
16564,2011,11,22,3,363.0
16565,2011,11,22,4,322.0
16566,2011,11,22,5,315.0
16631,2011,11,24,22,323.0
16632,2011,11,24,23,333.0
16633,2011,11,25,0,305.0
16655,2011,11,25,22,332.0
16656,2011,11,25,23,343.0
16657,2011,11,26,0,337.0
16658,2011,11,26,1,311.0
16679,2011,11,26,22,305.0
16680,2011,11,26,23,322.0
16681,2011,11,27,0,330.0
16682,2011,11,27,1,326.0
16683,2011,11,27,2,306.0
16685,2011,11,27,4,302.0
16701,2011,11,27,20,313.0
16702,2011,11,27,21,350.0
16703,2011,11,27,22,404.0
16704,2011,11,27,23,391.0
16705,2011,11,28,0,362.0
16794,2011,12,1,17,301.0
16803,2011,12,2,2,303.0
16808,2011,12,2,7,306.0
16809,2011,12,2,8,309.0
16810,2011,12,2,9,301.0
16819,2011,12,2,18,307.0
16820,2011,12,2,19,365.0
16821,2011,12,2,20,431.0
16822,2011,12,2,21,494.0
16823,2011,12,2,22,490.0
16824,2011,12,2,23,473.0
16825,2011,12,3,0,473.0
16826,2011,12,3,1,477.0
16827,2011,12,3,2,301.0
16865,2011,12,4,16,406.0
16866,2011,12,4,17,472.0
16867,2011,12,4,18,498.0
16868,2011,12,4,19,522.0
16869,2011,12,4,20,469.0
16870,2011,12,4,21,412.0
16871,2011,12,4,22,372.0
16872,2011,12,4,23,355.0
16873,2011,12,5,0,365.0
16874,2011,12,5,1,392.0
16875,2011,12,5,2,324.0
16876,2011,12,5,3,386.0
16877,2011,12,5,4,397.0
16878,2011,12,5,5,416.0
16879,2011,12,5,6,395.0
16880,2011,12,5,7,370.0
16889,2011,12,5,16,306.0
16891,2011,12,5,18,332.0
16892,2011,12,5,19,335.0
16893,2011,12,5,20,324.0
16894,2011,12,5,21,318.0
16895,2011,12,5,22,304.0
16919,2011,12,6,22,456.0
16920,2011,12,6,23,420.0
16921,2011,12,7,0,340.0
16922,2011,12,7,1,306.0
17085,2011,12,13,20,304.0
17086,2011,12,13,21,320.0
17398,2011,12,26,21,307.0
17399,2011,12,26,22,302.0
17400,2011,12,26,23,316.0
17401,2011,12,27,0,327.0
17423,2011,12,27,22,324.0
17424,2011,12,27,23,356.0
17425,2011,12,28,0,333.0
17443,2011,12,28,18,316.0
17444,2011,12,28,19,437.0
17522,2012,1,1,1,303.0
17734,2012,1,9,21,314.0
17735,2012,1,9,22,350.0
17736,2012,1,9,23,335.0
17737,2012,1,10,0,366.0
17738,2012,1,10,1,358.0
17739,2012,1,10,2,388.0
17740,2012,1,10,3,433.0
17741,2012,1,10,4,524.0
17742,2012,1,10,5,534.0
17743,2012,1,10,6,501.0
17744,2012,1,10,7,513.0
17745,2012,1,10,8,491.0
17746,2012,1,10,9,502.0
17747,2012,1,10,10,484.0
17748,2012,1,10,11,494.0
17919,2012,1,17,14,301.0
17921,2012,1,17,16,304.0
17922,2012,1,17,17,309.0
17923,2012,1,17,18,308.0
17924,2012,1,17,19,338.0
17925,2012,1,17,20,416.0
17926,2012,1,17,21,398.0
17927,2012,1,17,22,385.0
17928,2012,1,17,23,348.0
17929,2012,1,18,0,332.0
17930,2012,1,18,1,339.0
17931,2012,1,18,2,344.0
17932,2012,1,18,3,353.0
17933,2012,1,18,4,385.0
17934,2012,1,18,5,394.0
17935,2012,1,18,6,401.0
17936,2012,1,18,7,393.0
17937,2012,1,18,8,381.0
17938,2012,1,18,9,384.0
17939,2012,1,18,10,372.0
17940,2012,1,18,11,370.0
17941,2012,1,18,12,345.0
17942,2012,1,18,13,359.0
17943,2012,1,18,14,382.0
17944,2012,1,18,15,412.0
17945,2012,1,18,16,440.0
17946,2012,1,18,17,436.0
17947,2012,1,18,18,450.0
17948,2012,1,18,19,456.0
17949,2012,1,18,20,469.0
17950,2012,1,18,21,450.0
17951,2012,1,18,22,458.0
17952,2012,1,18,23,446.0
17953,2012,1,19,0,437.0
17954,2012,1,19,1,460.0
17955,2012,1,19,2,503.0
17956,2012,1,19,3,558.0
17957,2012,1,19,4,486.0
17958,2012,1,19,5,441.0
17959,2012,1,19,6,388.0
17960,2012,1,19,7,351.0
17961,2012,1,19,8,348.0
17962,2012,1,19,9,390.0
17963,2012,1,19,10,405.0
17964,2012,1,19,11,380.0
17965,2012,1,19,12,373.0
17966,2012,1,19,13,379.0
17967,2012,1,19,14,387.0
17968,2012,1,19,15,378.0
17969,2012,1,19,16,399.0
17970,2012,1,19,17,414.0
17971,2012,1,19,18,419.0
17972,2012,1,19,19,436.0
17973,2012,1,19,20,436.0
17974,2012,1,19,21,459.0
17975,2012,1,19,22,494.0
17976,2012,1,19,23,522.0
17977,2012,1,20,0,479.0
17978,2012,1,20,1,315.0
18050,2012,1,23,1,994.0
18051,2012,1,23,2,972.0
18052,2012,1,23,3,430.0
18575,2012,2,13,22,332.0
18576,2012,2,13,23,352.0
18577,2012,2,14,0,376.0
18578,2012,2,14,1,380.0
18579,2012,2,14,2,327.0
18580,2012,2,14,3,306.0
18924,2012,2,28,11,308.0
18959,2012,2,29,22,318.0
18960,2012,2,29,23,324.0
18961,2012,3,1,0,322.0
18973,2012,3,1,12,326.0
18974,2012,3,1,13,347.0
18975,2012,3,1,14,314.0
19333,2012,3,16,12,328.0
19334,2012,3,16,13,335.0
19335,2012,3,16,14,345.0
19336,2012,3,16,15,360.0
19337,2012,3,16,16,320.0
19339,2012,3,16,18,315.0
19340,2012,3,16,19,318.0
19341,2012,3,16,20,346.0
19342,2012,3,16,21,334.0
19343,2012,3,16,22,302.0
19344,2012,3,16,23,310.0
19453,2012,3,21,12,308.0
19454,2012,3,21,13,327.0
19455,2012,3,21,14,336.0
19458,2012,3,21,17,338.0
19459,2012,3,21,18,338.0
19460,2012,3,21,19,347.0
19461,2012,3,21,20,355.0
19462,2012,3,21,21,356.0
19463,2012,3,21,22,393.0
19464,2012,3,21,23,398.0
19465,2012,3,22,0,407.0
19466,2012,3,22,1,378.0
19469,2012,3,22,4,354.0
19471,2012,3,22,6,306.0
19472,2012,3,22,7,306.0
20253,2012,4,23,20,303.0
20255,2012,4,23,22,307.0
20410,2012,4,30,9,312.0
20647,2012,5,10,6,312.0
21599,2012,6,18,22,305.0
21628,2012,6,20,3,338.0
21643,2012,6,20,18,306.0
22382,2012,7,21,13,318.0
23335,2012,8,30,6,301.0
23336,2012,8,30,7,302.0
24284,2012,10,8,19,308.0
24285,2012,10,8,20,338.0
24286,2012,10,8,21,343.0
24287,2012,10,8,22,347.0
24288,2012,10,8,23,398.0
24289,2012,10,9,0,446.0
24290,2012,10,9,1,436.0
24291,2012,10,9,2,407.0
24292,2012,10,9,3,390.0
24293,2012,10,9,4,331.0
24550,2012,10,19,21,303.0
24551,2012,10,19,22,334.0
24553,2012,10,20,0,324.0
24554,2012,10,20,1,308.0
24572,2012,10,20,19,341.0
24573,2012,10,20,20,311.0
24691,2012,10,25,18,331.0
24692,2012,10,25,19,338.0
24693,2012,10,25,20,338.0
24694,2012,10,25,21,367.0
24695,2012,10,25,22,301.0
24714,2012,10,26,17,308.0
24715,2012,10,26,18,317.0
24716,2012,10,26,19,329.0
24717,2012,10,26,20,313.0
24718,2012,10,26,21,307.0
24719,2012,10,26,22,309.0
24721,2012,10,27,0,304.0
25325,2012,11,21,4,334.0
25326,2012,11,21,5,370.0
25327,2012,11,21,6,331.0
25329,2012,11,21,8,305.0
25342,2012,11,21,21,308.0
25343,2012,11,21,22,338.0
25344,2012,11,21,23,350.0
25345,2012,11,22,0,404.0
25346,2012,11,22,1,410.0
25347,2012,11,22,2,418.0
25348,2012,11,22,3,431.0
25349,2012,11,22,4,359.0
25350,2012,11,22,5,318.0
25351,2012,11,22,6,335.0
25416,2012,11,24,23,315.0
25417,2012,11,25,0,326.0
25418,2012,11,25,1,358.0
25419,2012,11,25,2,445.0
25420,2012,11,25,3,413.0
25421,2012,11,25,4,345.0
25422,2012,11,25,5,329.0
25600,2012,12,2,15,305.0
25601,2012,12,2,16,332.0
25602,2012,12,2,17,316.0
25608,2012,12,2,23,313.0
25609,2012,12,3,0,322.0
25610,2012,12,3,1,318.0
25611,2012,12,3,2,327.0
25612,2012,12,3,3,315.0
25908,2012,12,15,11,324.0
25910,2012,12,15,13,305.0
25911,2012,12,15,14,322.0
25916,2012,12,15,19,323.0
25917,2012,12,15,20,348.0
25918,2012,12,15,21,343.0
25919,2012,12,15,22,309.0
25921,2012,12,16,0,335.0
26034,2012,12,20,17,308.0
26040,2012,12,20,23,314.0
26041,2012,12,21,0,315.0
26042,2012,12,21,1,380.0
26043,2012,12,21,2,355.0
26044,2012,12,21,3,323.0
26045,2012,12,21,4,303.0
26445,2013,1,6,20,335.0
26446,2013,1,6,21,392.0
26447,2013,1,6,22,413.0
26448,2013,1,6,23,339.0
26473,2013,1,8,0,333.0
26474,2013,1,8,1,357.0
26475,2013,1,8,2,390.0
26476,2013,1,8,3,326.0
26477,2013,1,8,4,402.0
26478,2013,1,8,5,365.0
26521,2013,1,10,0,305.0
26522,2013,1,10,1,304.0
26523,2013,1,10,2,303.0
26538,2013,1,10,17,395.0
26539,2013,1,10,18,449.0
26540,2013,1,10,19,389.0
26541,2013,1,10,20,421.0
26542,2013,1,10,21,486.0
26543,2013,1,10,22,486.0
26544,2013,1,10,23,488.0
26545,2013,1,11,0,434.0
26546,2013,1,11,1,425.0
26547,2013,1,11,2,418.0
26548,2013,1,11,3,416.0
26549,2013,1,11,4,402.0
26550,2013,1,11,5,429.0
26551,2013,1,11,6,408.0
26552,2013,1,11,7,456.0
26553,2013,1,11,8,434.0
26554,2013,1,11,9,391.0
26555,2013,1,11,10,377.0
