id,release_date,title,vote_average,vote_count
152532,2013-09-07,Dallas Buyers Club,7.9,2886
71157,2011-10-06,Polisse,7.9,285
210577,2014-10-01,Gone Girl,7.9,5862
387,1981-09-16,Das Boot,7.9,613
348,1979-05-25,Alien,7.9,4470
103663,2012-08-28,The Hunt,7.9,927
9277,1973-12-25,The Sting,7.9,622
38,2004-03-19,Eternal Sunshine of the Spotless Mind,7.9,3652
489,1997-12-05,Good Will Hunting,7.9,2811
7345,2007-12-28,There Will Be Blood,7.9,1537
582,2006-03-15,The Lives of Others,7.9,958
857,1998-07-24,Saving Private Ryan,7.9,5048
76203,2013-10-18,12 Years a Slave,7.9,3674
118340,2014-07-30,Guardians of the Galaxy,7.9,9742
1422,2006-10-05,The Departed,7.9,4339
3083,1939-10-19,Mr. Smith Goes to Washington,7.9,241
14,1999-09-15,American Beauty,7.9,3313
603,1999-03-30,The Matrix,7.9,8907
627,1996-02-23,Trainspotting,7.8,2655
37165,1998-06-04,The Truman Show,7.8,4537
122906,2013-08-16,About Time,7.8,2067
314365,2015-11-06,Spotlight,7.8,2686
524,1995-11-22,Casino,7.8,1307
11778,1978-12-08,The Deer Hunter,7.8,921
14271,1999-10-22,Beyond the Mat,7.8,17
10238,1972-12-21,Cries and Whispers,7.8,115
50014,2011-08-09,The Help,7.8,1910
194,2001-04-25,Amélie,7.8,3310
13223,2008-12-09,Gran Torino,7.8,3086
25376,2009-08-13,The Secret in Their Eyes,7.8,626
159037,2013-06-07,The Square,7.8,55
703,1977-04-19,Annie Hall,7.8,1010
11324,2010-02-18,Shutter Island,7.8,6336
78705,2004-09-21,Live-In Maid,7.8,3
177572,2014-10-24,Big Hero 6,7.8,6135
872,1952-04-10,Singin' in the Rain,7.8,727
25461,2002-05-16,Raising Victor Vargas,7.8,13
266856,2014-11-26,The Theory of Everything,7.8,3311
279,1984-10-26,Amadeus,7.8,1076
7347,2007-10-12,Elite Squad,7.8,504
115,1998-03-06,The Big Lebowski,7.8,2926
1091,1982-06-25,The Thing,7.8,1588
10681,2008-06-22,WALL·E,7.8,6296
21334,1997-08-01,Children of Heaven,7.8,112
235,1986-08-22,Stand by Me,7.8,1522
48035,1955-01-09,Ordet,7.8,65
310569,2015-02-08,The Second Mother,7.8,165
5915,2007-09-11,Into the Wild,7.8,3045
762,1975-03-13,Monty Python and the Holy Grail,7.8,1708
68718,2012-12-25,Django Unchained,7.8,10099
947,1962-12-10,Lawrence of Arabia,7.8,851
8885,2008-06-25,Waltz with Bashir,7.8,291
5925,1963-06-20,The Great Escape,7.8,717
149,1988-07-16,Akira,7.8,773
613,2004-09-08,Downfall,7.7,1037
11036,2004-06-25,The Notebook,7.7,3067
59440,2011-09-09,Warrior,7.7,1272
873,1985-12-18,The Color Purple,7.7,338
24,2003-10-10,Kill Bill: Vol. 1,7.7,4949
47686,1997-01-01,Dream with the Fishes,7.7,10
12093,2002-08-23,Lilya 4-ever,7.7,139
3175,1975-12-18,Barry Lyndon,7.7,505
673,2004-05-31,Harry Potter and the Prisoner of Azkaban,7.7,5877
593,1972-03-20,Solaris,7.7,357
640,2002-12-25,Catch Me If You Can,7.7,3795
6977,2007-11-08,No Country for Old Men,7.7,3003
752,2006-03-15,V for Vendetta,7.7,4442
3034,1974-12-15,Young Frankenstein,7.7,854
745,1999-08-06,The Sixth Sense,7.7,3147
197,1995-05-24,Braveheart,7.7,3336
85,1981-06-12,Raiders of the Lost Ark,7.7,3854
14160,2009-05-13,Up,7.7,6870
107,2000-09-01,Snatch,7.7,2912
96721,2013-09-02,Rush,7.7,2277
309,1998-05-20,The Celebration,7.7,207
70,2004-12-15,Million Dollar Baby,7.7,2439
223,1940-04-12,Rebecca,7.7,336
60243,2011-03-15,A Separation,7.7,469
3078,1934-02-22,It Happened One Night,7.7,275
76,1995-01-27,Before Sunrise,7.7,959
826,1957-10-02,The Bridge on the River Kwai,7.7,542
141,2001-01-18,Donnie Darko,7.7,3452
17139,1997-04-17,Character,7.7,25
280,1991-07-01,Terminator 2: Judgment Day,7.7,4185
862,1995-10-30,Toy Story,7.7,5269
14275,1994-09-12,Hoop Dreams,7.7,87
9702,1993-02-05,Bound by Honor,7.7,115
453,2001-12-11,A Beautiful Mind,7.7,3009
126141,2004-12-05,The Case of the Grinning Cat,7.7,3
10774,1976-11-01,Network,7.7,381
173224,2013-02-28,Along the Roadside,7.7,3
33,1992-08-07,Unforgiven,7.7,1113
84892,2012-09-20,The Perks of Being a Wallflower,7.7,2968
24985,2002-01-01,The Heart of Me,7.7,5
13363,2007-06-10,The Man from Earth,7.7,687
679,1986-07-18,Aliens,7.7,3220
28178,2009-06-13,Hachi: A Dog's Tale,7.7,1717
277216,2015-08-13,Straight Outta Compton,7.7,1355
26022,2010-02-12,My Name Is Khan,7.7,232
44639,2010-10-08,Inside Job,7.7,286
2118,1997-09-19,L.A. Confidential,7.7,1310
2011,2007-05-23,Persepolis,7.7,450
770,1939-12-15,Gone with the Wind,7.7,970
152742,2013-01-01,The Best Offer,7.7,704
14574,2008-05-07,The Boy in the Striped Pyjamas,7.7,1451
1402,2006-12-14,The Pursuit of Happyness,7.7,2525
4348,2005-09-16,Pride & Prejudice,7.7,1358
74510,2011-09-09,Kevin Hart: Laugh at My Pain,7.7,43
404,1999-10-15,The Straight Story,7.7,306
1578,1980-11-14,Raging Bull,7.7,938
21461,2006-01-01,Lage Raho Munna Bhai,7.6,44
821,1961-12-01,Judgment at Nuremberg,7.6,155
10386,1999-08-06,The Iron Giant,7.6,1436
12405,2008-05-12,Slumdog Millionaire,7.6,2827
10674,1998-06-18,Mulan,7.6,2008
21345,2009-04-22,City of Life and Death,7.6,55
309809,2015-07-29,The Little Prince,7.6,756
258755,2014-10-03,Hidden Away,7.6,26
16642,1978-09-13,Days of Heaven,7.6,234
12,2003-05-30,Finding Nemo,7.6,6122
905,1929-01-30,Pandora's Box,7.6,45
15976,2006-06-06,The Bubble,7.6,20
296096,2016-06-02,Me Before You,7.6,2562
666,1998-01-16,Central Station,7.6,126
8416,1970-10-21,The Conformist,7.6,127
288,1952-03-27,High Noon,7.6,334
286217,2015-09-30,The Martian,7.6,7268
1018,2001-05-16,Mulholland Drive,7.6,1477
222935,2014-05-16,The Fault in Our Stars,7.6,3759
45269,2010-09-06,The King's Speech,7.6,2752
17431,2009-06-12,Moon,7.6,1794
322,2003-10-07,Mystic River,7.6,1422
765,1987-03-13,Evil Dead II,7.6,742
380,1988-12-11,Rain Man,7.6,1709
329,1993-06-11,Jurassic Park,7.6,4856
83666,2012-05-16,Moonrise Kingdom,7.6,1662
109424,2013-10-10,Captain Phillips,7.6,2454
925,1989-06-30,Do the Right Thing,7.6,292
261,1958-02-17,Cat on a Hot Tin Roof,7.6,165
587,2003-12-25,Big Fish,7.6,1994
391,1964-09-12,A Fistful of Dollars,7.6,883
1417,2006-05-27,Pan's Labyrinth,7.6,3041
183894,2009-10-11,Emma,7.6,38
291,2004-07-09,Riding Giants,7.6,23
3558,1999-12-21,"Girl, Interrupted",7.6,721
16,2000-05-17,Dancer in the Dark,7.6,377
100402,2014-03-20,Captain America: The Winter Soldier,7.6,5764
273248,2015-12-25,The Hateful Eight,7.6,4274
14284,2007-01-19,In the Shadow of the Moon,7.6,31
576,1969-06-17,The Wild Bunch,7.6,259
137113,2014-05-27,Edge of Tomorrow,7.6,4858
887,1946-12-25,The Best Years of Our Lives,7.6,143
126319,2012-12-12,Ernest & Celestine,7.6,142
2493,1987-09-18,The Princess Bride,7.6,1486
10193,2010-06-16,Toy Story 3,7.6,4597
581,1990-11-09,Dances with Wolves,7.6,1046
11194,2003-09-05,Touching the Void,7.6,138
57158,2013-12-11,The Hobbit: The Desolation of Smaug,7.6,4524
55,2000-06-16,Amores perros,7.6,521
80,2004-02-10,Before Sunset,7.6,718
49026,2012-07-16,The Dark Knight Rises,7.6,9106
990,1961-09-25,The Hustler,7.6,240
82702,2014-06-12,How to Train Your Dragon 2,7.6,3106
242582,2014-10-23,Nightcrawler,7.6,3395
702,1951-09-18,A Streetcar Named Desire,7.6,281
117,1987-06-02,The Untouchables,7.6,1384
264660,2015-01-21,Ex Machina,7.6,4737
52032,2009-01-01,My Dog Tulip,7.6,9
9800,1993-12-22,Philadelphia,7.6,988
89,1989-05-24,Indiana Jones and the Last Crusade,7.6,3152
393,2004-04-16,Kill Bill: Vol. 2,7.6,3948
2786,1965-08-29,Pierrot le Fou,7.6,127
24748,1963-05-29,Hud,7.5,66
578,1975-06-18,Jaws,7.5,2542
127585,2014-05-15,X-Men: Days of Future Past,7.5,6032
347755,2016-01-28,Wind Walkers,7.5,6
334,1999-12-08,Magnolia,7.5,825
1646,2007-01-05,Freedom Writers,7.5,356
10331,1968-10-01,Night of the Living Dead,7.5,580
86837,2012-07-01,Amour,7.5,400
24977,2000-05-05,Michael Jordan to the Max,7.5,10
985,1977-03-19,Eraserhead,7.5,485
137106,2014-02-06,The Lego Movie,7.5,3070
162,1990-12-05,Edward Scissorhands,7.5,3601
782,1997-09-07,Gattaca,7.5,1808
1435,2003-10-19,Tarnation,7.5,22
805,1968-06-12,Rosemary's Baby,7.5,863
7735,2008-03-11,The Wave,7.5,841
13889,1993-04-17,Madadayo,7.5,20
585,2001-11-01,"Monsters, Inc.",7.5,5996
244267,2014-07-18,I Origins,7.5,1063
123678,2012-08-31,The Act of Killing,7.5,210
100,1998-03-05,"Lock, Stock and Two Smoking Barrels",7.5,1648
256040,2015-07-10,Baahubali: The Beginning,7.5,135
67238,2005-03-12,Cavite,7.5,2
12429,2008-07-19,Ponyo,7.5,926
792,1986-12-18,Platoon,7.5,1205
747,2004-04-09,Shaun of the Dead,7.5,2420
10229,2002-01-25,A Walk to Remember,7.5,1018
10315,2009-10-23,Fantastic Mr. Fox,7.5,1176
597,1997-11-18,Titanic,7.5,7562
820,1991-12-20,JFK,7.5,502
11545,1998-09-17,Rushmore,7.5,676
85350,2014-06-05,Boyhood,7.5,1971
5708,2007-09-26,Control,7.5,200
773,2006-07-26,Little Miss Sunshine,7.5,1686
9552,1973-12-26,The Exorcist,7.5,2005
2649,1997-09-12,The Game,7.5,1506
2062,2007-06-22,Ratatouille,7.5,4369
284293,2014-12-05,Still Alice,7.5,1104
142,2005-09-02,Brokeback Mountain,7.5,1480
9504,1992-09-15,Glengarry Glen Ross,7.5,323
22,2003-07-09,Pirates of the Caribbean: The Curse of the Black Pearl,7.5,6985
525,1980-06-17,The Blues Brothers,7.5,1065
4995,1997-09-11,Boogie Nights,7.5,796
874,1966-12-12,A Man for All Seasons,7.5,89
5528,2004-03-17,The Chorus,7.5,526
562,1988-07-15,Die Hard,7.5,3948
361475,2016-05-20,Departure,7.5,12
14048,2008-07-25,Man on Wire,7.5,275
211954,2013-07-20,Instructions Not Included,7.5,205
592,1974-04-07,The Conversation,7.5,372
205,2004-09-11,Hotel Rwanda,7.5,793
68,1985-02-20,Brazil,7.5,861
1245,1993-11-05,The Remains of the Day,7.5,202
51942,1998-08-28,I Married a Strange Person!,7.5,12
272,2005-06-10,Batman Begins,7.5,7359
319,1993-09-09,True Romance,7.5,749
1366,1976-11-21,Rocky,7.5,1791
385736,2016-09-09,Kicks,7.5,18
16653,2002-01-30,The Singles Ward,7.5,4
1587,1993-12-17,What's Eating Gilbert Grape,7.5,919
11321,2008-12-18,Seven Pounds,7.5,2039
13187,1965-12-09,A Charlie Brown Christmas,7.5,153
8358,2000-12-22,Cast Away,7.5,3218
674,2005-11-05,Harry Potter and the Goblet of Fire,7.5,5608
671,2001-11-16,Harry Potter and the Philosopher's Stone,7.5,7006
10191,2010-03-05,How to Train Your Dragon,7.5,4227
18570,2008-09-07,"Food, Inc.",7.4,217
11190,2003-06-25,The Return,7.4,100
132344,2013-04-05,Before Midnight,7.4,568
190859,2014-12-11,American Sniper,7.4,4469
426469,2017-02-03,Growing Up Smith,7.4,7
10162,1998-09-15,Waking Ned,7.4,54
786,2000-09-15,Almost Famous,7.4,797
18900,1967-12-14,In Cold Blood,7.4,82
28580,1945-11-25,The Lost Weekend,7.4,112
293660,2016-02-09,Deadpool,7.4,10995
27029,1959-06-18,The Nun's Story,7.4,46
9428,2001-10-05,The Royal Tenenbaums,7.4,1286
38985,1977-06-24,Sorcerer,7.4,98
26843,1981-04-17,Lion of the Desert,7.4,34
9665,1989-12-15,Glory,7.4,383
4638,2007-02-14,Hot Fuzz,7.4,2199
850,1983-11-18,A Christmas Story,7.4,344
24226,1982-12-08,The Verdict,7.4,131
3116,1969-05-25,Midnight Cowboy,7.4,299
14811,1971-11-03,Fiddler on the Roof,7.4,134
228150,2014-10-15,Fury,7.4,3946
907,1965-12-22,Doctor Zhivago,7.4,247
159014,2013-06-14,20 Feet from Stardom,7.4,85
11697,1962-04-22,The Man Who Shot Liberty Valance,7.4,265
9444,1997-11-20,Anastasia,7.4,1432
824,2001-03-09,Moulin Rouge!,7.4,1300
9023,2002-05-24,Spirit: Stallion of the Cimarron,7.4,831
18079,2000-08-31,Nine Queens,7.4,153
137,1993-02-11,Groundhog Day,7.4,2301
16161,2001-06-27,Baby Boy,7.4,55
10705,1989-10-05,Henry V,7.4,71
16320,2005-08-25,Serenity,7.4,1264
12837,2008-09-17,The Secret Life of Bees,7.4,158
165,1989-11-20,Back to the Future Part II,7.4,3829
193756,2013-12-24,Lone Survivor,7.4,1526
13475,2009-05-06,Star Trek,7.4,4518
49020,2011-03-18,Submarine,7.4,443
71,2000-05-18,Billy Elliot,7.4,750
71859,2011-09-28,We Need to Talk About Kevin,7.4,677
101299,2013-11-15,The Hunger Games: Catching Fire,7.4,6495
4251,2004-11-12,Veer-Zaara,7.4,64
11901,1973-04-19,High Plains Drifter,7.4,278
9366,1997-02-27,Donnie Brasco,7.4,1147
3059,1916-09-04,Intolerance,7.4,60
11969,1993-12-25,Tombstone,7.4,626
812,1992-11-25,Aladdin,7.4,3416
33106,2009-01-20,Silver Medalist,7.4,13
4347,2007-08-29,Atonement,7.4,1049
746,1987-10-21,The Last Emperor,7.4,355
9571,1993-09-24,Dazed and Confused,7.4,583
10637,2000-09-29,Remember the Titans,7.4,821
54138,2013-05-05,Star Trek Into Darkness,7.4,4418
1779,1989-09-01,Roger & Me,7.4,90
203833,2013-11-08,The Book Thief,7.4,1486
1726,2008-04-30,Iron Man,7.4,8776
80215,2012-05-18,Indie Game: The Movie,7.4,203
293863,2015-04-16,The Age of Adaline,7.4,1990
11658,2004-02-05,Tae Guk Gi: The Brotherhood of War,7.4,133
13403,2001-07-20,Hedwig and the Angry Inch,7.4,80
64690,2011-08-06,Drive,7.4,3725
15121,1965-03-02,The Sound of Music,7.4,941
1523,2006-09-01,The Last King of Scotland,7.4,558
650,1991-07-12,Boyz n the Hood,7.4,364
14736,2000-04-21,Love & Basketball,7.4,88
79120,2011-09-22,Weekend,7.4,163
194662,2014-08-27,Birdman,7.4,4535
11798,2006-09-12,This Is England,7.4,363
675,2007-06-28,Harry Potter and the Order of the Phoenix,7.4,5494
1542,1999-02-19,Office Space,7.4,1050
16619,1980-09-19,Ordinary People,7.4,145
2292,1994-09-13,Clerks,7.4,755
129670,2013-09-21,Nebraska,7.4,636
60421,2011-08-26,Circumstance,7.4,23
36095,1997-11-06,Cure,7.4,63
948,1978-10-25,Halloween,7.4,1035
4550,2005-07-29,Sympathy for Lady Vengeance,7.4,356
1051,1971-10-09,The French Connection,7.4,422
228203,2015-02-20,"McFarland, USA",7.4,213
338,2003-02-09,"Good bye, Lenin!",7.4,586
10683,1998-10-16,Happiness,7.4,194
2013,2007-05-22,The Diving Bell and the Butterfly,7.4,283
8321,2008-02-08,In Bruges,7.4,1388
630,1939-08-15,The Wizard of Oz,7.4,1642
292539,2014-04-26,Food Chains,7.4,8
9806,2004-11-05,The Incredibles,7.4,5152
138843,2013-07-18,The Conjuring,7.4,3092
9693,2006-09-22,Children of Men,7.4,2071
767,2009-07-07,Harry Potter and the Half-Blood Prince,7.4,5293
38757,2010-11-24,Tangled,7.4,3330
252,1971-06-29,Willy Wonka & the Chocolate Factory,7.4,798
4960,2008-10-24,"Synecdoche, New York",7.4,278
273895,2014-12-25,Selma,7.4,817
186,2006-02-24,Lucky Number Slevin,7.4,1323
1933,2001-08-02,The Others,7.4,1660
12498,1996-08-30,Sling Blade,7.4,231
43949,2010-08-06,Flipped,7.4,418
4982,2007-11-02,American Gangster,7.4,1502
11113,1964-10-21,My Fair Lady,7.4,352
4133,2001-04-04,Blow,7.4,1317
672,2002-11-13,Harry Potter and the Chamber of Secrets,7.4,5815
783,1982-11-30,Gandhi,7.4,716
24428,2012-04-25,The Avengers,7.4,11776
433,1964-08-27,Mary Poppins,7.4,1183
2056,2003-01-26,The Station Agent,7.4,210
3080,1935-09-06,Top Hat,7.4,59
59436,2011-05-11,Midnight in Paris,7.4,1990
244403,2014-10-17,Rudderless,7.4,105
205220,2013-11-01,Philomena,7.4,579
642,1969-09-23,Butch Cassidy and the Sundance Kid,7.4,650
9008,1999-10-28,The Insider,7.3,481
568,1995-06-30,Apollo 13,7.3,1599
227306,2014-12-25,Unbroken,7.3,1400
8810,1981-12-24,Mad Max 2: The Road Warrior,7.3,957
1430,2002-10-09,Bowling for Columbine,7.3,453
198277,2013-09-07,Begin Again,7.3,1254
116,2005-10-26,Match Point,7.3,1105
69,2005-09-13,Walk the Line,7.3,718
9912,2005-10-12,The World's Fastest Indian,7.3,166
4174,1945-12-28,Spellbound,7.3,160
43418,2010-04-15,Beneath Hill 60,7.3,40
75656,2013-05-29,Now You See Me,7.3,5487
3089,1948-08-26,Red River,7.3,82
22013,1960-06-19,Elmer Gantry,7.3,41
228194,2014-08-06,The Hundred-Foot Journey,7.3,508
248,1961-12-18,Pocketful of Miracles,7.3,25
26963,2009-02-09,The Secret of Kells,7.3,181
36970,2009-10-17,Oceans,7.3,111
312221,2015-11-25,Creed,7.3,1915
688,1995-05-28,The Bridges of Madison County,7.3,385
9509,2004-04-23,Man on Fire,7.3,1553
14836,2009-02-05,Coraline,7.3,1386
191714,2013-09-19,The Lunchbox,7.3,221
1359,2000-04-13,American Psycho,7.3,2066
2501,2002-06-14,The Bourne Identity,7.3,3583
179144,2013-05-21,The Great Beauty,7.3,720
140823,2013-11-16,Saving Mr. Banks,7.3,1226
11362,2002-01-23,The Count of Monte Cristo,7.3,453
228326,2014-10-01,The Book of Life,7.3,755
9662,2003-06-11,The Triplets of Belleville,7.3,231
9549,1983-10-20,The Right Stuff,7.3,235
764,1981-10-15,The Evil Dead,7.3,894
1954,2004-01-22,The Butterfly Effect,7.3,2060
4951,1999-03-30,10 Things I Hate About You,7.3,1701
318846,2015-12-11,The Big Short,7.3,2607
34653,2009-10-19,A Single Man,7.3,463
2757,2002-12-06,Adaptation.,7.3,638
72086,1971-01-01,The Night Visitor,7.3,6
13689,2006-03-30,Peaceful Warrior,7.3,90
2639,1997-08-26,Deconstructing Harry,7.3,187
1360,2002-08-29,Frida,7.3,383
90369,2012-05-25,Now Is Good,7.3,371
4553,2004-02-09,The Machinist,7.3,1247
307081,2015-06-15,Southpaw,7.3,2067
49047,2013-09-27,Gravity,7.3,5751
44214,2010-12-02,Black Swan,7.3,4430
46838,2010-01-22,Tucker and Dale vs Evil,7.3,847
64682,2013-05-10,The Great Gatsby,7.3,3769
601,1982-04-03,E.T. the Extra-Terrestrial,7.3,3269
11615,2003-02-21,The Life of David Gale,7.3,480
168259,2015-04-01,Furious 7,7.3,4176
35199,2006-06-26,Wordplay,7.3,10
704,1964-07-06,A Hard Day's Night,7.3,168
50848,2010-11-24,The Names of Love,7.3,93
492,1999-09-30,Being John Malkovich,7.3,1101
119450,2014-06-26,Dawn of the Planet of the Apes,7.3,4410
10549,1996-12-25,Hamlet,7.3,117
616,2003-12-05,The Last Samurai,7.3,1895
7863,1996-01-21,Shine,7.3,131
819,1996-10-18,Sleepers,7.3,715
17654,2009-08-05,District 9,7.3,3382
5723,2007-03-23,Once,7.3,453
22908,1999-08-23,A Room for Romeo Brass,7.3,18
25248,2004-09-11,Saint Ralph,7.3,24
134,2000-08-30,"O Brother, Where Art Thou?",7.3,1112
4922,2008-11-24,The Curious Case of Benjamin Button,7.3,3292
7979,2007-10-14,The Kite Runner,7.3,394
184,1997-12-24,Jackie Brown,7.3,1514
21612,1996-01-26,The Funeral,7.3,31
1391,2001-06-08,Y Tu Mamá También,7.3,315
7214,2005-01-14,Coach Carter,7.3,496
2034,2001-10-05,Training Day,7.3,1634
14283,1998-09-10,The Red Violin,7.3,99
11644,1981-07-24,Blow Out,7.3,236
106,1987-06-11,Predator,7.3,2093
87943,2005-09-03,Sisters in Law,7.3,2
281957,2015-12-25,The Revenant,7.3,6396
2503,2007-08-03,The Bourne Ultimatum,7.3,2888
522,1994-09-27,Ed Wood,7.3,630
11202,1970-01-25,Patton,7.3,323
45138,1969-04-01,Machine Gun McCain,7.3,6
154,1982-06-03,Star Trek II: The Wrath of Khan,7.3,675
12163,2008-09-07,The Wrestler,7.3,1000
3580,2008-01-30,Changeling,7.3,1131
36557,2006-11-14,Casino Royale,7.3,3855
921,2005-06-02,Cinderella Man,7.3,616
802,1962-06-13,Lolita,7.3,395
225235,2013-07-26,The Geographer Drank His Globe Away,7.3,23
219,2006-03-16,Volver,7.3,406
249164,2014-08-21,If I Stay,7.3,1368
10377,1992-03-13,My Cousin Vinny,7.3,384
639,1989-07-21,When Harry Met Sally...,7.3,950
10925,1985-05-15,The Return of the Living Dead,7.3,267
25209,1950-05-17,Annie Get Your Gun,7.3,22
1904,2005-12-06,Memoirs of a Geisha,7.3,652
687,1995-12-29,Dead Man Walking,7.3,337
370980,2015-12-03,Chiamatemi Francesco - Il Papa della gente,7.3,12
132316,2012-11-13,Jab Tak Hai Jaan,7.3,66
16858,1979-12-20,All That Jazz,7.3,85
74643,2011-05-15,The Artist,7.3,1049
1949,2007-03-02,Zodiac,7.3,2023
99861,2015-04-22,Avengers: Age of Ultron,7.3,6767
94329,2011-09-08,The Raid,7.3,1055
4147,2002-07-12,Road to Perdition,7.3,1077
218,1984-10-26,The Terminator,7.3,4128
2359,2007-05-18,Sicko,7.3,235
228205,2015-04-09,The Longest Ride,7.3,1064
26791,2001-03-30,Brigham City,7.3,4
109445,2013-11-27,Frozen,7.3,5295
18,1997-05-07,The Fifth Element,7.3,3885
157354,2013-07-25,Fruitvale Station,7.3,390
388,2006-03-23,Inside Man,7.3,1630
9495,1994-05-11,The Crow,7.3,953
304357,2015-04-10,Woman in Gold,7.3,440
2009,2007-08-24,"4 Months, 3 Weeks and 2 Days",7.3,156
153,2003-08-31,Lost in Translation,7.3,1895
863,1999-10-30,Toy Story 2,7.3,3806
375290,2016-01-22,Airlift,7.3,57
